Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1506000	0.092720	3	0.159379	0.069957	0.911918	0.911918	0.069957	0.159379	
1507000	0.092720	3	0.165310	0.067676	0.882889	0.882889	0.067676	0.165310	
1508000	0.092720	3	0.207694	0.066525	0.879286	0.879286	0.066525	0.207694	
1509000	0.092720	4	0.160418	0.064973	0.876360	0.876360	0.064973	0.249052	
1510000	0.092720	3	0.186325	0.064819	0.854074	0.854074	0.064819	0.186325	
1511000	0.092720	4	0.169209	0.068914	0.842425	0.842425	0.068914	0.250720	
1512000	0.092720	3	0.188250	0.066644	0.868570	0.868570	0.066644	0.188250	
1513000	0.092720	4	0.170652	0.066390	0.799708	0.799708	0.066390	0.215909	
1514000	0.092720	3	0.207498	0.066689	0.854515	0.854515	0.066689	0.207498	
1515000	0.092720	3	0.191283	0.062493	0.883675	0.883675	0.062493	0.191283	
1516000	0.092720	3	0.201432	0.067790	0.846704	0.846704	0.067790	0.201432	
1517000	0.092720	3	0.196741	0.065159	0.832317	0.832317	0.065159	0.196741	
1518000	0.092720	3	0.197521	0.064796	0.869336	0.869336	0.064796	0.197521	
1519000	0.092720	3	0.191965	0.070472	0.874279	0.874279	0.070472	0.191965	
1520000	0.092720	3	0.190117	0.064899	0.817348	0.817348	0.064899	0.190117	
1521000	0.092720	4	0.164143	0.069565	0.879466	0.879466	0.069565	0.209781	
1522000	0.092720	3	0.194295	0.065639	0.857744	0.857744	0.065639	0.194295	
