Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	
224000	0.085832	2	4.948778	18.429391	4.948778	4.948778	4.948778	4.948778	4.948778	
225000	0.085832	2	5.005948	17.492844	5.005948	5.005948	5.005948	5.005948	5.005948	
226000	0.085832	2	5.117832	17.229207	5.117832	5.117832	5.117832	5.117832	5.117832	
227000	0.085832	2	5.109493	18.893058	5.109493	5.109493	5.109493	5.109493	5.109493	
228000	0.085832	2	5.147052	18.920503	5.147052	5.147052	5.147052	5.147052	5.147052	
229000	0.085832	2	5.885541	17.537998	5.885541	5.885541	5.885541	5.885541	5.885541	
230000	0.085832	2	5.175750	16.621118	5.175750	5.175750	5.175750	5.175750	5.175750	
231000	0.085832	2	5.803772	18.075113	5.803772	5.803772	5.803772	5.803772	5.803772	
232000	0.085832	2	5.307261	18.828101	5.307261	5.307261	5.307261	5.307261	5.307261	
233000	0.085832	2	6.083531	19.875102	6.083531	6.083531	6.083531	6.083531	6.083531	
234000	0.085832	2	5.451926	21.983206	5.451926	5.451926	5.451926	5.451926	5.451926	
235000	0.085832	2	5.019662	19.863968	5.019662	5.019662	5.019662	5.019662	5.019662	
236000	0.085832	2	5.433829	18.665895	5.433829	5.433829	5.433829	5.433829	5.433829	
237000	0.085832	2	5.490219	17.261280	5.490219	5.490219	5.490219	5.490219	5.490219	
238000	0.085832	2	5.884475	17.675786	5.884475	5.884475	5.884475	5.884475	5.884475	
239000	0.085832	2	5.262045	16.880182	5.262045	5.262045	5.262045	5.262045	5.262045	
240000	0.085832	2	4.951959	19.393696	4.951959	4.951959	4.951959	4.951959	4.951959	
241000	0.085832	2	5.534776	17.783525	5.534776	5.534776	5.534776	5.534776	5.534776	
242000	0.085832	2	5.485263	18.164698	5.485263	5.485263	5.485263	5.485263	5.485263	
243000	0.085832	2	5.439729	19.216361	5.439729	5.439729	5.439729	5.439729	5.439729	
244000	0.085832	2	5.362435	17.298238	5.362435	5.362435	5.362435	5.362435	5.362435	
245000	0.085832	2	5.297941	17.802236	5.297941	5.297941	5.297941	5.297941	5.297941	
246000	0.085832	2	5.561916	16.105870	5.561916	5.561916	5.561916	5.561916	5.561916	
247000	0.085832	2	5.473004	18.234780	5.473004	5.473004	5.473004	5.473004	5.473004	
248000	0.085832	2	5.396221	17.483395	5.396221	5.396221	5.396221	5.396221	5.396221	
249000	0.085832	2	5.118985	16.921876	5.118985	5.118985	5.118985	5.118985	5.118985	
250000	0.085832	2	5.137295	17.806457	5.137295	5.137295	5.137295	5.137295	5.137295	
251000	0.085832	2	5.549165	17.884641	5.549165	5.549165	5.549165	5.549165	5.549165	
252000	0.085832	2	5.974204	19.627865	5.974204	5.974204	5.974204	5.974204	5.974204	
253000	0.085832	2	6.093190	18.337300	6.093190	6.093190	6.093190	6.093190	6.093190	
254000	0.085832	2	5.872716	17.308791	5.872716	5.872716	5.872716	5.872716	5.872716	
255000	0.085832	2	5.988703	16.817184	5.988703	5.988703	5.988703	5.988703	5.988703	
256000	0.085832	2	5.509780	17.387661	5.509780	5.509780	5.509780	5.509780	5.509780	
257000	0.085832	2	5.538156	17.193875	5.538156	5.538156	5.538156	5.538156	5.538156	
258000	0.085832	2	5.406492	14.967059	5.406492	5.406492	5.406492	5.406492	5.406492	
259000	0.085832	2	5.719123	20.244894	5.719123	5.719123	5.719123	5.719123	5.719123	
260000	0.085832	2	5.223208	17.116669	5.223208	5.223208	5.223208	5.223208	5.223208	
261000	0.085832	2	5.844955	17.348169	5.844955	5.844955	5.844955	5.844955	5.844955	
262000	0.085832	2	5.635106	18.524146	5.635106	5.635106	5.635106	5.635106	5.635106	
263000	0.085832	2	5.296824	18.824527	5.296824	5.296824	5.296824	5.296824	5.296824	
264000	0.085832	2	5.223553	17.544184	5.223553	5.223553	5.223553	5.223553	5.223553	
265000	0.085832	2	5.587865	17.556650	5.587865	5.587865	5.587865	5.587865	5.587865	
266000	0.085832	2	5.609660	17.565416	5.609660	5.609660	5.609660	5.609660	5.609660	
267000	0.085832	2	5.361832	17.570363	5.361832	5.361832	5.361832	5.361832	5.361832	
268000	0.085832	2	5.579433	17.358835	5.579433	5.579433	5.579433	5.579433	5.579433	
269000	0.085832	2	5.499653	17.583050	5.499653	5.499653	5.499653	5.499653	5.499653	
