Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	
8872000	0.085832	4	0.263092	1.228399	0.263092	0.134638	0.153201	0.153201	1.228399	
8873000	0.085832	3	0.254653	1.249566	0.254653	0.139923	0.139923	0.139923	1.249566	
8874000	0.085832	3	0.253861	1.365250	0.253861	0.155090	0.155090	0.155090	1.365250	
8875000	0.085832	3	0.288759	1.525917	0.288759	0.160610	0.160610	0.160610	1.525917	
8876000	0.085832	3	0.261928	1.462086	0.261928	0.154839	0.154839	0.154839	1.462086	
8877000	0.085832	3	0.243716	1.415084	0.243716	0.150508	0.150508	0.150508	1.415084	
8878000	0.085832	3	0.262895	1.320051	0.262895	0.145899	0.145899	0.145899	1.320051	
8879000	0.085832	3	0.269641	1.709007	0.269641	0.162105	0.162105	0.162105	1.709007	
8880000	0.085832	3	0.267651	1.624415	0.267651	0.150276	0.150276	0.150276	1.624415	
8881000	0.085832	3	0.268294	1.780697	0.268294	0.153171	0.153171	0.153171	1.780697	
8882000	0.085832	3	0.280544	1.354830	0.280544	0.140032	0.140032	0.140032	1.354830	
8883000	0.085832	4	0.269766	1.312954	0.269766	0.134709	0.142697	0.142697	1.312954	
8884000	0.085832	3	0.254404	1.484616	0.254404	0.164095	0.164095	0.164095	1.484616	
8885000	0.085832	3	0.249562	1.331989	0.249562	0.160814	0.160814	0.160814	1.331989	
8886000	0.085832	3	0.279939	1.141436	0.279939	0.141899	0.141899	0.141899	1.141436	
8887000	0.085832	3	0.260847	1.410854	0.260847	0.158924	0.158924	0.158924	1.410854	
8888000	0.085832	3	0.289402	1.406796	0.289402	0.152336	0.152336	0.152336	1.406796	
8889000	0.085832	3	0.312686	1.264532	0.312686	0.150765	0.150765	0.150765	1.264532	
8890000	0.085832	3	0.255027	1.554290	0.255027	0.150214	0.150214	0.150214	1.554290	
8891000	0.085832	3	0.253370	1.478008	0.253370	0.153590	0.153590	0.153590	1.478008	
8892000	0.085832	3	0.264422	1.363996	0.264422	0.163891	0.163891	0.163891	1.363996	
8893000	0.085832	3	0.249193	1.334569	0.249193	0.161527	0.161527	0.161527	1.334569	
8894000	0.085832	3	0.254975	1.265229	0.254975	0.130966	0.130966	0.130966	1.265229	
8895000	0.085832	4	0.263092	1.329491	0.263092	0.139892	0.168072	0.168072	1.329491	
8896000	0.085832	3	0.246591	1.399047	0.246591	0.153315	0.153315	0.153315	1.399047	
8897000	0.085832	3	0.268929	1.559108	0.268929	0.135323	0.135323	0.135323	1.559108	
8898000	0.085832	3	0.260029	1.198216	0.260029	0.131462	0.131462	0.131462	1.198216	
8899000	0.085832	3	0.254713	1.482565	0.254713	0.156933	0.156933	0.156933	1.482565	
8900000	0.085832	3	0.242255	1.431496	0.242255	0.159435	0.159435	0.159435	1.431496	
8901000	0.085832	3	0.295035	1.361158	0.295035	0.140254	0.140254	0.140254	1.361158	
8902000	0.085832	3	0.262322	1.536786	0.262322	0.154220	0.154220	0.154220	1.536786	
8903000	0.085832	3	0.261404	1.493455	0.261404	0.138199	0.138199	0.138199	1.493455	
8904000	0.085832	3	0.267179	1.478632	0.267179	0.151753	0.151753	0.151753	1.478632	
8905000	0.085832	3	0.273302	1.930869	0.273302	0.149562	0.149562	0.149562	1.930869	
8906000	0.085832	3	0.253287	1.647999	0.253287	0.154776	0.154776	0.154776	1.647999	
8907000	0.085832	3	0.269561	1.595544	0.269561	0.147784	0.147784	0.147784	1.595544	
8908000	0.085832	3	0.264311	1.410091	0.264311	0.151182	0.151182	0.151182	1.410091	
8909000	0.085832	3	0.267673	1.427192	0.267673	0.161767	0.161767	0.161767	1.427192	
8910000	0.085832	3	0.263284	1.565299	0.263284	0.170842	0.170842	0.170842	1.565299	
8911000	0.085832	3	0.276838	1.839970	0.276838	0.158560	0.158560	0.158560	1.839970	
8912000	0.085832	3	0.269247	1.398864	0.269247	0.153341	0.153341	0.153341	1.398864	
8913000	0.085832	4	0.257187	1.585035	0.257187	0.135358	0.156466	0.156466	1.585035	
8914000	0.085832	3	0.295817	1.361360	0.295817	0.142300	0.142300	0.142300	1.361360	
8915000	0.085832	3	0.279797	1.658267	0.279797	0.142048	0.142048	0.142048	1.658267	
8916000	0.085832	3	0.255448	1.379341	0.255448	0.149400	0.149400	0.149400	1.379341	
8917000	0.085832	3	0.247717	1.831803	0.247717	0.156230	0.156230	0.156230	1.831803	
8918000	0.085832	3	0.247726	1.647625	0.247726	0.141547	0.141547	0.141547	1.647625	
8919000	0.085832	3	0.287572	1.427672	0.287572	0.158736	0.158736	0.158736	1.427672	
8920000	0.085832	3	0.269091	1.783346	0.269091	0.169598	0.169598	0.169598	1.783346	
8921000	0.085832	3	0.232534	1.556314	0.232534	0.155023	0.232534	0.155023	1.556314	
8922000	0.085832	3	0.286228	1.543977	0.286228	0.148462	0.148462	0.148462	1.543977	
8923000	0.085832	3	0.250041	1.230070	0.250041	0.149228	0.149228	0.149228	1.230070	
8924000	0.085832	3	0.261832	1.417438	0.261832	0.149473	0.149473	0.149473	1.417438	
8925000	0.085832	3	0.270689	1.339629	0.270689	0.168486	0.168486	0.168486	1.339629	
8926000	0.085832	3	0.251297	1.553120	0.251297	0.152129	0.152129	0.152129	1.553120	
8927000	0.085832	3	0.274319	1.313950	0.274319	0.146801	0.146801	0.146801	1.313950	
8928000	0.085832	3	0.253339	1.488911	0.253339	0.151802	0.151802	0.151802	1.488911	
8929000	0.085832	3	0.295278	1.333306	0.295278	0.150014	0.150014	0.150014	1.333306	
8930000	0.085832	3	0.262842	1.411832	0.262842	0.145545	0.145545	0.145545	1.411832	
8931000	0.085832	3	0.255841	1.518676	0.255841	0.138839	0.138839	0.138839	1.518676	
8932000	0.085832	3	0.263569	1.549560	0.263569	0.143103	0.143103	0.143103	1.549560	
8933000	0.085832	3	0.285855	1.193679	0.285855	0.147184	0.147184	0.147184	1.193679	
8934000	0.085832	3	0.281488	1.605922	0.281488	0.157171	0.157171	0.157171	1.605922	
8935000	0.085832	3	0.292786	1.490560	0.292786	0.156525	0.156525	0.156525	1.490560	
8936000	0.085832	3	0.282513	1.452549	0.282513	0.160355	0.160355	0.160355	1.452549	
8937000	0.085832	3	0.258543	1.264312	0.258543	0.150710	0.150710	0.150710	1.264312	
8938000	0.085832	3	0.270836	1.514453	0.270836	0.156480	0.156480	0.156480	1.514453	
8939000	0.085832	5	0.275940	1.753091	0.296737	0.140900	0.182569	0.182569	1.753091	
8940000	0.085832	3	0.268045	1.717226	0.268045	0.157015	0.157015	0.157015	1.717226	
8941000	0.085832	4	0.249681	1.606812	0.249681	0.133597	0.155966	0.155966	1.606812	
8942000	0.085832	3	0.278039	1.520232	0.278039	0.158453	0.158453	0.158453	1.520232	
8943000	0.085832	3	0.283326	1.506860	0.283326	0.154157	0.154157	0.154157	1.506860	
8944000	0.085832	3	0.256043	1.640537	0.256043	0.140708	0.140708	0.140708	1.640537	
8945000	0.085832	3	0.257816	1.346772	0.257816	0.154226	0.154226	0.154226	1.346772	
8946000	0.085832	3	0.293160	1.570806	0.293160	0.186946	0.186946	0.186946	1.570806	
8947000	0.085832	3	0.256499	1.494051	0.256499	0.157070	0.157070	0.157070	1.494051	
8948000	0.085832	3	0.267741	1.791993	0.267741	0.164948	0.164948	0.164948	1.791993	
8949000	0.085832	3	0.273716	1.308803	0.273716	0.143603	0.143603	0.143603	1.308803	
8950000	0.085832	3	0.255935	1.591318	0.255935	0.153376	0.153376	0.153376	1.591318	
8951000	0.085832	3	0.255099	1.477427	0.255099	0.149965	0.149965	0.149965	1.477427	
8952000	0.085832	3	0.271017	1.405119	0.271017	0.157312	0.157312	0.157312	1.405119	
8953000	0.085832	3	0.257158	1.521280	0.257158	0.144106	0.144106	0.144106	1.521280	
8954000	0.085832	3	0.265931	1.320356	0.265931	0.155043	0.155043	0.155043	1.320356	
