Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	
8441000	0.529975	3	0.266648	1.498759	0.266648	0.148016	0.148016	0.148016	1.498759	
8442000	0.529975	3	0.270687	1.499348	0.270687	0.152187	0.152187	0.152187	1.499348	
8443000	0.529975	4	0.246116	1.523247	0.246116	0.140668	0.190879	0.190879	1.523247	
8444000	0.529975	4	0.275799	1.517227	0.275799	0.172553	0.198455	0.172553	1.517227	
8445000	0.529975	3	0.248431	1.408245	0.248431	0.179022	0.179022	0.179022	1.408245	
8446000	0.529975	3	0.267406	1.215404	0.267406	0.142781	0.142781	0.142781	1.215404	
8447000	0.529975	4	0.256687	1.395412	0.256687	0.119273	0.162538	0.162538	1.395412	
8448000	0.529975	3	0.280176	1.286740	0.280176	0.147000	0.147000	0.147000	1.286740	
8449000	0.529975	4	0.282287	1.441164	0.282287	0.117965	0.172871	0.172871	1.441164	
8450000	0.529975	3	0.276040	1.499049	0.276040	0.151549	0.151549	0.151549	1.499049	
8451000	0.529975	3	0.257796	1.634666	0.257796	0.176253	0.176253	0.176253	1.634666	
8452000	0.529975	3	0.273668	1.488331	0.273668	0.150248	0.150248	0.150248	1.488331	
8453000	0.529975	3	0.258084	1.379671	0.258084	0.140349	0.140349	0.140349	1.379671	
8454000	0.529975	4	0.262860	1.588871	0.262860	0.131448	0.168082	0.131448	1.588871	
8455000	0.529975	3	0.249845	1.497416	0.249845	0.158986	0.158986	0.158986	1.497416	
8456000	0.529975	4	0.277731	1.345349	0.277731	0.143365	0.143365	0.143365	1.321752	
8457000	0.529975	3	0.259008	1.579030	0.259008	0.172511	0.172511	0.172511	1.579030	
8458000	0.529975	3	0.275600	2.001079	0.275600	0.148595	0.148595	0.148595	2.001079	
8459000	0.529975	3	0.305986	1.391887	0.305986	0.149693	0.149693	0.149693	1.391887	
8460000	0.529975	3	0.241172	1.681391	0.241172	0.161005	0.161005	0.161005	1.681391	
8461000	0.529975	3	0.250191	1.487141	0.250191	0.152177	0.152177	0.152177	1.487141	
