Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	
242000	0.529975	2	5.813504	18.418646	5.813504	5.813504	5.813504	5.813504	5.813504	
243000	0.529975	2	5.605692	17.075068	5.605692	5.605692	5.605692	5.605692	5.605692	
244000	0.529975	2	5.527446	17.068389	5.527446	5.527446	5.527446	5.527446	5.527446	
245000	0.529975	2	5.603509	16.153520	5.603509	5.603509	5.603509	5.603509	5.603509	
246000	0.529975	2	5.350625	19.636136	5.350625	5.350625	5.350625	5.350625	5.350625	
247000	0.529975	2	5.208822	18.058039	5.208822	5.208822	5.208822	5.208822	5.208822	
248000	0.529975	2	5.948916	18.699867	5.948916	5.948916	5.948916	5.948916	5.948916	
249000	0.529975	2	5.471008	19.940832	5.471008	5.471008	5.471008	5.471008	5.471008	
250000	0.529975	2	5.721669	18.240013	5.721669	5.721669	5.721669	5.721669	5.721669	
251000	0.529975	2	4.717169	16.391695	4.717169	4.717169	4.717169	4.717169	4.717169	
252000	0.529975	2	5.733791	16.932413	5.733791	5.733791	5.733791	5.733791	5.733791	
253000	0.529975	2	5.789607	17.436702	5.789607	5.789607	5.789607	5.789607	5.789607	
254000	0.529975	2	5.683824	16.916878	5.683824	5.683824	5.683824	5.683824	5.683824	
255000	0.529975	2	5.519118	18.415809	5.519118	5.519118	5.519118	5.519118	5.519118	
256000	0.529975	2	5.595213	18.969823	5.595213	5.595213	5.595213	5.595213	5.595213	
257000	0.529975	2	5.609287	17.615302	5.609287	5.609287	5.609287	5.609287	5.609287	
258000	0.529975	2	5.453049	18.020025	5.453049	5.453049	5.453049	5.453049	5.453049	
259000	0.529975	2	5.519850	17.298632	5.519850	5.519850	5.519850	5.519850	5.519850	
260000	0.529975	2	5.525949	18.031575	5.525949	5.525949	5.525949	5.525949	5.525949	
261000	0.529975	2	5.550771	16.949007	5.550771	5.550771	5.550771	5.550771	5.550771	
262000	0.529975	2	5.155196	18.694357	5.155196	5.155196	5.155196	5.155196	5.155196	
263000	0.529975	2	5.367206	18.809238	5.367206	5.367206	5.367206	5.367206	5.367206	
264000	0.529975	2	5.449775	18.383463	5.449775	5.449775	5.449775	5.449775	5.449775	
265000	0.529975	2	5.398494	18.934861	5.398494	5.398494	5.398494	5.398494	5.398494	
266000	0.529975	2	5.748788	18.697877	5.748788	5.748788	5.748788	5.748788	5.748788	
267000	0.529975	2	5.443284	17.207025	5.443284	5.443284	5.443284	5.443284	5.443284	
268000	0.529975	2	5.388448	17.173019	5.388448	5.388448	5.388448	5.388448	5.388448	
269000	0.529975	2	5.407480	16.770975	5.407480	5.407480	5.407480	5.407480	5.407480	
270000	0.529975	2	5.718639	18.915787	5.718639	5.718639	5.718639	5.718639	5.718639	
271000	0.529975	2	5.110148	17.541170	5.110148	5.110148	5.110148	5.110148	5.110148	
272000	0.529975	2	4.811128	18.920003	4.811128	4.811128	4.811128	4.811128	4.811128	
273000	0.529975	2	5.895414	18.333507	5.895414	5.895414	5.895414	5.895414	5.895414	
274000	0.529975	2	5.102736	17.984398	5.102736	5.102736	5.102736	5.102736	5.102736	
275000	0.529975	2	5.304574	18.805722	5.304574	5.304574	5.304574	5.304574	5.304574	
276000	0.529975	2	5.702865	16.511476	5.702865	5.702865	5.702865	5.702865	5.702865	
277000	0.529975	2	5.553720	23.468598	5.553720	5.553720	5.553720	5.553720	5.553720	
278000	0.529975	2	5.019869	17.133102	5.019869	5.019869	5.019869	5.019869	5.019869	
279000	0.529975	2	5.542909	18.783610	5.542909	5.542909	5.542909	5.542909	5.542909	
280000	0.529975	2	5.343373	17.865342	5.343373	5.343373	5.343373	5.343373	5.343373	
281000	0.529975	2	5.406845	18.065176	5.406845	5.406845	5.406845	5.406845	5.406845	
282000	0.529975	2	5.352969	17.432028	5.352969	5.352969	5.352969	5.352969	5.352969	
283000	0.529975	2	5.280320	19.219938	5.280320	5.280320	5.280320	5.280320	5.280320	
284000	0.529975	2	5.689265	19.504392	5.689265	5.689265	5.689265	5.689265	5.689265	
285000	0.529975	2	5.321702	19.982336	5.321702	5.321702	5.321702	5.321702	5.321702	
286000	0.529975	2	5.420911	19.036962	5.420911	5.420911	5.420911	5.420911	5.420911	
287000	0.529975	2	5.370997	17.357050	5.370997	5.370997	5.370997	5.370997	5.370997	
288000	0.529975	2	5.280742	16.406561	5.280742	5.280742	5.280742	5.280742	5.280742	
289000	0.529975	2	4.867738	17.251626	4.867738	4.867738	4.867738	4.867738	4.867738	
290000	0.529975	2	5.749664	17.155514	5.749664	5.749664	5.749664	5.749664	5.749664	
291000	0.529975	2	5.321327	17.325615	5.321327	5.321327	5.321327	5.321327	5.321327	
292000	0.529975	2	5.978964	18.878566	5.978964	5.978964	5.978964	5.978964	5.978964	
293000	0.529975	2	4.928328	18.872349	4.928328	4.928328	4.928328	4.928328	4.928328	
294000	0.529975	2	5.764473	19.428613	5.764473	5.764473	5.764473	5.764473	5.764473	
295000	0.529975	2	5.739436	18.471649	5.739436	5.739436	5.739436	5.739436	5.739436	
296000	0.529975	2	5.759172	15.678534	5.759172	5.759172	5.759172	5.759172	5.759172	
297000	0.529975	2	5.470690	17.398413	5.470690	5.470690	5.470690	5.470690	5.470690	
