Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	
5316000	0.085832	2	0.331326	0.299077	0.109491	0.260106	0.331326	0.299077	0.109491	0.260106	0.199810	0.260741	0.274470	0.264979	0.199810	0.260741	0.274470	0.264979	0.199810	0.260741	0.274470	0.264979	0.331326	0.299077	0.109491	0.260106	0.199810	0.260741	0.274470	0.264979	
5317000	0.085832	2	0.335053	0.278763	0.115204	0.270980	0.335053	0.278763	0.115204	0.270980	0.195267	0.256530	0.285157	0.263046	0.195267	0.256530	0.285157	0.263046	0.195267	0.256530	0.285157	0.263046	0.335053	0.278763	0.115204	0.270980	0.195267	0.256530	0.285157	0.263046	
5318000	0.085832	2	0.337291	0.296231	0.115668	0.250811	0.337291	0.296231	0.115668	0.250811	0.204941	0.269893	0.264404	0.260761	0.204941	0.269893	0.264404	0.260761	0.204941	0.269893	0.264404	0.260761	0.337291	0.296231	0.115668	0.250811	0.204941	0.269893	0.264404	0.260761	
5319000	0.085832	2	0.337291	0.296231	0.115668	0.250811	0.337291	0.296231	0.115668	0.250811	0.176220	0.258240	0.282486	0.283055	0.176220	0.258240	0.282486	0.283055	0.176220	0.258240	0.282486	0.283055	0.337291	0.296231	0.115668	0.250811	0.176220	0.258240	0.282486	0.283055	
5320000	0.085832	2	0.329908	0.268295	0.120006	0.281791	0.329908	0.268295	0.120006	0.281791	0.199312	0.271512	0.253370	0.275806	0.199312	0.271512	0.253370	0.275806	0.199312	0.271512	0.253370	0.275806	0.329908	0.268295	0.120006	0.281791	0.199312	0.271512	0.253370	0.275806	
5321000	0.085832	2	0.324673	0.291290	0.128564	0.255472	0.324673	0.291290	0.128564	0.255472	0.189388	0.277206	0.264695	0.268711	0.189388	0.277206	0.264695	0.268711	0.189388	0.277206	0.264695	0.268711	0.324673	0.291290	0.128564	0.255472	0.189388	0.277206	0.264695	0.268711	
5322000	0.085832	2	0.316273	0.286934	0.120978	0.275815	0.316273	0.286934	0.120978	0.275815	0.185590	0.259236	0.278572	0.276603	0.185590	0.259236	0.278572	0.276603	0.185590	0.259236	0.278572	0.276603	0.316273	0.286934	0.120978	0.275815	0.185590	0.259236	0.278572	0.276603	
5323000	0.085832	2	0.318963	0.290713	0.131642	0.258682	0.318963	0.290713	0.131642	0.258682	0.160838	0.268382	0.290703	0.280077	0.160838	0.268382	0.290703	0.280077	0.160838	0.268382	0.290703	0.280077	0.318963	0.290713	0.131642	0.258682	0.160838	0.268382	0.290703	0.280077	
5324000	0.085832	2	0.343470	0.271716	0.127848	0.256966	0.343470	0.271716	0.127848	0.256966	0.184829	0.278117	0.286654	0.250400	0.184829	0.278117	0.286654	0.250400	0.184829	0.278117	0.286654	0.250400	0.343470	0.271716	0.127848	0.256966	0.184829	0.278117	0.286654	0.250400	
5325000	0.085832	2	0.343470	0.271716	0.127848	0.256966	0.343470	0.271716	0.127848	0.256966	0.196863	0.252653	0.276784	0.273700	0.196863	0.252653	0.276784	0.273700	0.196863	0.252653	0.276784	0.273700	0.343470	0.271716	0.127848	0.256966	0.196863	0.252653	0.276784	0.273700	
