Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	R[AC,7]	R[AG,7]	R[AT,7]	R[CG,7]	R[CT,7]	R[GT,7]	
788000	16.777027	2	0.064235	0.390132	0.075029	0.024743	0.397900	0.047961	0.064235	0.390132	0.075029	0.024743	0.397900	0.047961	0.064235	0.390132	0.075029	0.024743	0.397900	0.047961	0.112300	0.393242	0.028848	0.264540	0.145707	0.055364	0.112300	0.393242	0.028848	0.264540	0.145707	0.055364	0.112300	0.393242	0.028848	0.264540	0.145707	0.055364	0.064235	0.390132	0.075029	0.024743	0.397900	0.047961	
789000	16.777027	2	0.053488	0.394610	0.064599	0.030504	0.396806	0.059993	0.053488	0.394610	0.064599	0.030504	0.396806	0.059993	0.053488	0.394610	0.064599	0.030504	0.396806	0.059993	0.192250	0.186797	0.043842	0.252296	0.117595	0.207219	0.053488	0.394610	0.064599	0.030504	0.396806	0.059993	0.053488	0.394610	0.064599	0.030504	0.396806	0.059993	0.053488	0.394610	0.064599	0.030504	0.396806	0.059993	
790000	16.777027	2	0.058857	0.391454	0.064082	0.032550	0.395712	0.057345	0.058857	0.391454	0.064082	0.032550	0.395712	0.057345	0.058857	0.391454	0.064082	0.032550	0.395712	0.057345	0.417547	0.062565	0.047050	0.148085	0.232967	0.091785	0.417547	0.062565	0.047050	0.148085	0.232967	0.091785	0.058857	0.391454	0.064082	0.032550	0.395712	0.057345	0.058857	0.391454	0.064082	0.032550	0.395712	0.057345	
791000	16.777027	3	0.060772	0.388276	0.066202	0.024007	0.408583	0.052161	0.060772	0.388276	0.066202	0.024007	0.408583	0.052161	0.060772	0.388276	0.066202	0.024007	0.408583	0.052161	0.148387	0.159406	0.303055	0.213690	0.141274	0.034188	0.112852	0.290392	0.223998	0.210547	0.135168	0.027044	0.060772	0.388276	0.066202	0.024007	0.408583	0.052161	0.060772	0.388276	0.066202	0.024007	0.408583	0.052161	
792000	16.777027	3	0.061086	0.393117	0.063633	0.026416	0.402621	0.053126	0.061086	0.393117	0.063633	0.026416	0.402621	0.053126	0.061086	0.393117	0.063633	0.026416	0.402621	0.053126	0.082266	0.139716	0.159557	0.373784	0.215242	0.029435	0.074307	0.362124	0.072582	0.171012	0.244250	0.075726	0.074307	0.362124	0.072582	0.171012	0.244250	0.075726	0.061086	0.393117	0.063633	0.026416	0.402621	0.053126	
793000	16.777027	2	0.055755	0.407994	0.059827	0.035770	0.391229	0.049425	0.055755	0.407994	0.059827	0.035770	0.391229	0.049425	0.055755	0.407994	0.059827	0.035770	0.391229	0.049425	0.148640	0.153333	0.251393	0.128720	0.304442	0.013471	0.148640	0.153333	0.251393	0.128720	0.304442	0.013471	0.055755	0.407994	0.059827	0.035770	0.391229	0.049425	0.055755	0.407994	0.059827	0.035770	0.391229	0.049425	
794000	16.777027	2	0.068002	0.442404	0.051531	0.025932	0.355566	0.056566	0.068002	0.442404	0.051531	0.025932	0.355566	0.056566	0.068002	0.442404	0.051531	0.025932	0.355566	0.056566	0.096241	0.376402	0.086827	0.137394	0.209363	0.093773	0.096241	0.376402	0.086827	0.137394	0.209363	0.093773	0.096241	0.376402	0.086827	0.137394	0.209363	0.093773	0.068002	0.442404	0.051531	0.025932	0.355566	0.056566	
795000	16.777027	2	0.059859	0.463682	0.061772	0.032622	0.339919	0.042145	0.059859	0.463682	0.061772	0.032622	0.339919	0.042145	0.059859	0.463682	0.061772	0.032622	0.339919	0.042145	0.080591	0.342303	0.085663	0.202086	0.182260	0.107096	0.080591	0.342303	0.085663	0.202086	0.182260	0.107096	0.080591	0.342303	0.085663	0.202086	0.182260	0.107096	0.059859	0.463682	0.061772	0.032622	0.339919	0.042145	
796000	16.777027	3	0.058685	0.429883	0.054298	0.027947	0.368919	0.060268	0.058685	0.429883	0.054298	0.027947	0.368919	0.060268	0.058685	0.429883	0.054298	0.027947	0.368919	0.060268	0.046036	0.204697	0.239247	0.188914	0.208397	0.112709	0.071090	0.366304	0.043253	0.227561	0.173862	0.117930	0.071090	0.366304	0.043253	0.227561	0.173862	0.117930	0.058685	0.429883	0.054298	0.027947	0.368919	0.060268	
797000	16.777027	2	0.062854	0.323381	0.115895	0.021593	0.421443	0.054834	0.062854	0.323381	0.115895	0.021593	0.421443	0.054834	0.062854	0.323381	0.115895	0.021593	0.421443	0.054834	0.066147	0.460734	0.166309	0.114451	0.152398	0.039961	0.066147	0.460734	0.166309	0.114451	0.152398	0.039961	0.066147	0.460734	0.166309	0.114451	0.152398	0.039961	0.062854	0.323381	0.115895	0.021593	0.421443	0.054834	
798000	16.777027	2	0.067788	0.387335	0.058936	0.025991	0.417788	0.042161	0.067788	0.387335	0.058936	0.025991	0.417788	0.042161	0.067788	0.387335	0.058936	0.025991	0.417788	0.042161	0.043464	0.339473	0.134729	0.215004	0.249558	0.017771	0.043464	0.339473	0.134729	0.215004	0.249558	0.017771	0.043464	0.339473	0.134729	0.215004	0.249558	0.017771	0.067788	0.387335	0.058936	0.025991	0.417788	0.042161	
