Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	TL[10]	TL[11]	
2258000	48.111915	7	14.091819	5.264808	26.023195	5.264808	9.708707	5.264808	26.023195	5.264808	11.098642	10.592777	9.504996	
2259000	48.111915	7	13.190030	5.570091	28.656584	5.570091	11.253131	5.570091	28.656584	5.570091	13.642129	10.977285	11.894840	
2260000	48.111915	6	12.114050	4.735222	30.015241	4.735222	10.489332	4.735222	30.015241	4.735222	11.524764	11.248414	4.735222	
2261000	48.111915	7	13.803403	6.103297	29.063454	6.103297	11.078415	6.103297	29.063454	6.103297	11.467640	11.197152	11.945497	
2262000	48.111915	6	12.037172	5.213703	28.618461	5.213703	9.070573	5.213703	28.618461	5.213703	12.177813	9.536583	5.213703	
2263000	48.111915	6	13.104942	5.456897	28.615642	5.456897	11.656557	5.456897	28.615642	5.456897	12.143223	11.088990	5.456897	
2264000	48.111915	6	25.825989	5.006587	25.825989	5.006587	9.946230	5.006587	25.825989	5.006587	11.579217	10.406011	13.041659	
2265000	48.111915	5	27.638517	5.023771	27.638517	5.023771	9.231956	5.023771	27.638517	5.023771	11.418734	11.441765	5.023771	
2266000	48.111915	6	13.672652	5.137105	30.070705	5.137105	5.137105	5.137105	30.070705	5.137105	11.783289	10.164165	10.665735	
2267000	48.111915	5	30.640456	5.159109	30.640456	5.159109	5.159109	5.159109	30.640456	5.159109	12.285312	10.613990	12.394661	
2268000	48.111915	5	10.994812	5.669576	30.439223	5.669576	5.669576	5.669576	30.439223	5.669576	11.958465	11.110518	11.958465	
2269000	48.111915	6	12.396224	5.637951	31.788570	5.637951	5.637951	5.637951	31.788570	5.637951	11.839964	9.531341	12.473163	
2270000	48.111915	5	15.183113	5.988960	15.183113	5.988960	5.988960	5.988960	15.183113	5.988960	13.351152	11.225564	10.501772	
2271000	48.111915	4	23.358871	6.275266	23.358871	6.275266	6.275266	6.275266	23.358871	6.275266	10.770106	10.428333	6.275266	
2272000	48.111915	6	12.356998	6.450483	26.365209	6.450483	6.450483	6.450483	26.365209	6.450483	10.850521	10.484870	12.719601	
2273000	48.111915	5	12.807156	5.529148	28.855822	5.529148	5.529148	5.529148	28.855822	5.529148	10.924774	10.924774	11.532987	
2274000	48.111915	6	12.577897	5.098213	28.704648	5.098213	5.098213	5.098213	28.704648	5.098213	11.678851	11.312375	10.437574	
2275000	48.111915	5	13.009881	5.196221	29.801011	5.196221	5.196221	5.196221	29.801011	5.196221	11.133168	11.133168	11.295857	
2276000	48.111915	6	13.143587	5.531968	28.072938	5.531968	5.531968	5.531968	28.072938	5.531968	12.337477	11.732758	10.442147	
2277000	48.111915	6	12.822363	5.445261	28.505855	5.445261	5.445261	5.445261	28.505855	5.445261	11.256964	11.025563	11.294838	
2278000	48.111915	6	12.194207	5.371193	27.850756	5.371193	5.371193	5.371193	27.850756	5.371193	12.878298	11.257351	12.740892	
2279000	48.111915	6	12.797256	5.459152	28.896210	5.459152	5.459152	5.459152	28.896210	5.459152	12.812370	8.813779	10.611903	
2280000	48.111915	6	14.497692	5.952137	29.193178	5.952137	5.952137	5.952137	29.193178	5.952137	14.183148	12.181685	12.155884	
2281000	48.111915	5	25.255768	5.539332	25.255768	5.539332	5.539332	5.539332	25.255768	5.539332	11.155173	12.372454	12.800612	
2282000	48.111915	6	13.240265	5.686301	28.023939	5.686301	5.686301	5.686301	28.023939	5.686301	12.117257	10.550262	10.393399	
2283000	48.111915	4	24.463764	5.560482	24.463764	5.560482	5.560482	5.560482	24.463764	5.560482	13.211868	11.109577	5.560482	
2284000	48.111915	5	26.144425	5.687779	26.144425	5.687779	5.687779	5.687779	26.144425	5.687779	12.480704	10.673229	12.101306	
2285000	48.111915	4	25.324956	5.063558	25.324956	5.063558	5.063558	5.063558	25.324956	5.063558	11.934806	10.795816	5.063558	
2286000	48.111915	4	27.516435	5.175434	27.516435	5.175434	5.175434	5.175434	27.516435	5.175434	11.735544	11.465152	5.175434	
2287000	48.111915	5	28.031975	4.814991	28.031975	4.814991	4.814991	4.814991	28.031975	4.814991	12.609824	10.552868	11.942504	
2288000	48.111915	5	24.962338	5.210335	24.962338	5.210335	5.210335	5.210335	24.962338	5.210335	10.932291	9.875382	10.083287	
