Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	
1145000	27.685548	1	0.120785	0.217474	0.035902	0.194762	0.284926	0.146152	0.120785	0.217474	0.035902	0.194762	0.284926	0.146152	0.120785	0.217474	0.035902	0.194762	0.284926	0.146152	0.120785	0.217474	0.035902	0.194762	0.284926	0.146152	
1146000	27.685548	1	0.123821	0.219409	0.035957	0.183143	0.264753	0.172917	0.123821	0.219409	0.035957	0.183143	0.264753	0.172917	0.123821	0.219409	0.035957	0.183143	0.264753	0.172917	0.123821	0.219409	0.035957	0.183143	0.264753	0.172917	
1147000	27.685548	1	0.104829	0.245575	0.054372	0.179060	0.285209	0.130955	0.104829	0.245575	0.054372	0.179060	0.285209	0.130955	0.104829	0.245575	0.054372	0.179060	0.285209	0.130955	0.104829	0.245575	0.054372	0.179060	0.285209	0.130955	
1148000	27.685548	1	0.132984	0.271216	0.027106	0.201373	0.231982	0.135340	0.132984	0.271216	0.027106	0.201373	0.231982	0.135340	0.132984	0.271216	0.027106	0.201373	0.231982	0.135340	0.132984	0.271216	0.027106	0.201373	0.231982	0.135340	
1149000	27.685548	1	0.126993	0.232373	0.029115	0.197372	0.249845	0.164302	0.126993	0.232373	0.029115	0.197372	0.249845	0.164302	0.126993	0.232373	0.029115	0.197372	0.249845	0.164302	0.126993	0.232373	0.029115	0.197372	0.249845	0.164302	
1150000	27.685548	1	0.141234	0.260510	0.038393	0.174442	0.230708	0.154714	0.141234	0.260510	0.038393	0.174442	0.230708	0.154714	0.141234	0.260510	0.038393	0.174442	0.230708	0.154714	0.141234	0.260510	0.038393	0.174442	0.230708	0.154714	
1151000	27.685548	2	0.100294	0.237244	0.045815	0.157672	0.351598	0.107377	0.230138	0.257015	0.035161	0.108469	0.233943	0.135274	0.100294	0.237244	0.045815	0.157672	0.351598	0.107377	0.230138	0.257015	0.035161	0.108469	0.233943	0.135274	
1152000	27.685548	1	0.106184	0.229350	0.034109	0.259982	0.227965	0.142410	0.106184	0.229350	0.034109	0.259982	0.227965	0.142410	0.106184	0.229350	0.034109	0.259982	0.227965	0.142410	0.106184	0.229350	0.034109	0.259982	0.227965	0.142410	
1153000	27.685548	1	0.121949	0.215111	0.026498	0.224544	0.280575	0.131323	0.121949	0.215111	0.026498	0.224544	0.280575	0.131323	0.121949	0.215111	0.026498	0.224544	0.280575	0.131323	0.121949	0.215111	0.026498	0.224544	0.280575	0.131323	
1154000	27.685548	1	0.105404	0.256166	0.031758	0.199449	0.262133	0.145091	0.105404	0.256166	0.031758	0.199449	0.262133	0.145091	0.105404	0.256166	0.031758	0.199449	0.262133	0.145091	0.105404	0.256166	0.031758	0.199449	0.262133	0.145091	
1155000	27.685548	1	0.120791	0.213723	0.031669	0.189705	0.287877	0.156234	0.120791	0.213723	0.031669	0.189705	0.287877	0.156234	0.120791	0.213723	0.031669	0.189705	0.287877	0.156234	0.120791	0.213723	0.031669	0.189705	0.287877	0.156234	
1156000	27.685548	1	0.202354	0.174165	0.030104	0.132651	0.331676	0.129051	0.202354	0.174165	0.030104	0.132651	0.331676	0.129051	0.202354	0.174165	0.030104	0.132651	0.331676	0.129051	0.202354	0.174165	0.030104	0.132651	0.331676	0.129051	
1157000	27.685548	1	0.089305	0.244375	0.033450	0.179251	0.289944	0.163675	0.089305	0.244375	0.033450	0.179251	0.289944	0.163675	0.089305	0.244375	0.033450	0.179251	0.289944	0.163675	0.089305	0.244375	0.033450	0.179251	0.289944	0.163675	
1158000	27.685548	1	0.120446	0.248679	0.026668	0.187222	0.274725	0.142260	0.120446	0.248679	0.026668	0.187222	0.274725	0.142260	0.120446	0.248679	0.026668	0.187222	0.274725	0.142260	0.120446	0.248679	0.026668	0.187222	0.274725	0.142260	
1159000	27.685548	1	0.112467	0.246472	0.036631	0.195836	0.263722	0.144871	0.112467	0.246472	0.036631	0.195836	0.263722	0.144871	0.112467	0.246472	0.036631	0.195836	0.263722	0.144871	0.112467	0.246472	0.036631	0.195836	0.263722	0.144871	
1160000	27.685548	1	0.115033	0.228448	0.020448	0.204729	0.279859	0.151482	0.115033	0.228448	0.020448	0.204729	0.279859	0.151482	0.115033	0.228448	0.020448	0.204729	0.279859	0.151482	0.115033	0.228448	0.020448	0.204729	0.279859	0.151482	
1161000	27.685548	2	0.121889	0.249606	0.035645	0.179289	0.264593	0.148978	0.150185	0.306329	0.056979	0.076932	0.201976	0.207600	0.121889	0.249606	0.035645	0.179289	0.264593	0.148978	0.150185	0.306329	0.056979	0.076932	0.201976	0.207600	
1162000	27.685548	1	0.113752	0.220373	0.031479	0.225067	0.274899	0.134430	0.113752	0.220373	0.031479	0.225067	0.274899	0.134430	0.113752	0.220373	0.031479	0.225067	0.274899	0.134430	0.113752	0.220373	0.031479	0.225067	0.274899	0.134430	
1163000	27.685548	1	0.114416	0.239237	0.025099	0.218002	0.256391	0.146856	0.114416	0.239237	0.025099	0.218002	0.256391	0.146856	0.114416	0.239237	0.025099	0.218002	0.256391	0.146856	0.114416	0.239237	0.025099	0.218002	0.256391	0.146856	
1164000	27.685548	2	0.138650	0.228227	0.027358	0.190484	0.254716	0.160566	0.109553	0.127958	0.089109	0.159164	0.311445	0.202771	0.138650	0.228227	0.027358	0.190484	0.254716	0.160566	0.138650	0.228227	0.027358	0.190484	0.254716	0.160566	
1165000	27.685548	2	0.160516	0.240727	0.064415	0.092614	0.299557	0.142171	0.160516	0.240727	0.064415	0.092614	0.299557	0.142171	0.160516	0.240727	0.064415	0.092614	0.299557	0.142171	0.137960	0.197071	0.051251	0.046161	0.382891	0.184667	
1166000	27.685548	1	0.127245	0.260031	0.034932	0.132363	0.301707	0.143721	0.127245	0.260031	0.034932	0.132363	0.301707	0.143721	0.127245	0.260031	0.034932	0.132363	0.301707	0.143721	0.127245	0.260031	0.034932	0.132363	0.301707	0.143721	
1167000	27.685548	1	0.100559	0.224144	0.046831	0.210803	0.286559	0.131104	0.100559	0.224144	0.046831	0.210803	0.286559	0.131104	0.100559	0.224144	0.046831	0.210803	0.286559	0.131104	0.100559	0.224144	0.046831	0.210803	0.286559	0.131104	
1168000	27.685548	1	0.140278	0.229188	0.041035	0.190410	0.246804	0.152286	0.140278	0.229188	0.041035	0.190410	0.246804	0.152286	0.140278	0.229188	0.041035	0.190410	0.246804	0.152286	0.140278	0.229188	0.041035	0.190410	0.246804	0.152286	
1169000	27.685548	1	0.120535	0.251106	0.032770	0.225554	0.225708	0.144327	0.120535	0.251106	0.032770	0.225554	0.225708	0.144327	0.120535	0.251106	0.032770	0.225554	0.225708	0.144327	0.120535	0.251106	0.032770	0.225554	0.225708	0.144327	
1170000	27.685548	1	0.139190	0.236336	0.031148	0.164380	0.292916	0.136030	0.139190	0.236336	0.031148	0.164380	0.292916	0.136030	0.139190	0.236336	0.031148	0.164380	0.292916	0.136030	0.139190	0.236336	0.031148	0.164380	0.292916	0.136030	
1171000	27.685548	1	0.105963	0.269456	0.036557	0.193993	0.234899	0.159131	0.105963	0.269456	0.036557	0.193993	0.234899	0.159131	0.105963	0.269456	0.036557	0.193993	0.234899	0.159131	0.105963	0.269456	0.036557	0.193993	0.234899	0.159131	
1172000	27.685548	1	0.112996	0.205823	0.040285	0.235711	0.269406	0.135778	0.112996	0.205823	0.040285	0.235711	0.269406	0.135778	0.112996	0.205823	0.040285	0.235711	0.269406	0.135778	0.112996	0.205823	0.040285	0.235711	0.269406	0.135778	
1173000	27.685548	2	0.109285	0.220617	0.029172	0.231398	0.290099	0.119429	0.109285	0.220617	0.029172	0.231398	0.290099	0.119429	0.109285	0.220617	0.029172	0.231398	0.290099	0.119429	0.181491	0.401879	0.020250	0.022323	0.310460	0.063596	
1174000	27.685548	1	0.122832	0.252177	0.034385	0.200961	0.238614	0.151031	0.122832	0.252177	0.034385	0.200961	0.238614	0.151031	0.122832	0.252177	0.034385	0.200961	0.238614	0.151031	0.122832	0.252177	0.034385	0.200961	0.238614	0.151031	
1175000	27.685548	1	0.113452	0.276346	0.031647	0.170759	0.269761	0.138035	0.113452	0.276346	0.031647	0.170759	0.269761	0.138035	0.113452	0.276346	0.031647	0.170759	0.269761	0.138035	0.113452	0.276346	0.031647	0.170759	0.269761	0.138035	
1176000	27.685548	1	0.130429	0.240884	0.039801	0.158206	0.258251	0.172428	0.130429	0.240884	0.039801	0.158206	0.258251	0.172428	0.130429	0.240884	0.039801	0.158206	0.258251	0.172428	0.130429	0.240884	0.039801	0.158206	0.258251	0.172428	
