Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1886000	0.092720	3	0.102585	0.386118	0.406224	0.105074	0.240263	0.255382	0.257152	0.247203	0.393716	0.098826	0.103794	0.403664	0.102585	0.386118	0.406224	0.105074	0.240263	0.255382	0.257152	0.247203	0.393716	0.098826	0.103794	0.403664	
1887000	0.092720	3	0.095696	0.403798	0.398256	0.102251	0.242845	0.259235	0.247973	0.249947	0.393716	0.098826	0.103794	0.403664	0.095696	0.403798	0.398256	0.102251	0.242845	0.259235	0.247973	0.249947	0.393716	0.098826	0.103794	0.403664	
1888000	0.092720	3	0.101197	0.383126	0.415597	0.100080	0.242979	0.243136	0.253953	0.259932	0.393716	0.098826	0.103794	0.403664	0.101197	0.383126	0.415597	0.100080	0.242979	0.243136	0.253953	0.259932	0.393716	0.098826	0.103794	0.403664	
1889000	0.092720	3	0.097065	0.398078	0.405780	0.099077	0.258420	0.245219	0.245804	0.250556	0.393716	0.098826	0.103794	0.403664	0.097065	0.398078	0.405780	0.099077	0.258420	0.245219	0.245804	0.250556	0.393716	0.098826	0.103794	0.403664	
1890000	0.092720	3	0.101225	0.398067	0.399296	0.101413	0.239671	0.254486	0.257073	0.248770	0.393716	0.098826	0.103794	0.403664	0.101225	0.398067	0.399296	0.101413	0.239671	0.254486	0.257073	0.248770	0.393716	0.098826	0.103794	0.403664	
1891000	0.092720	3	0.101225	0.398067	0.399296	0.101413	0.258684	0.249427	0.240521	0.251368	0.399789	0.097152	0.103124	0.399935	0.101225	0.398067	0.399296	0.101413	0.258684	0.249427	0.240521	0.251368	0.399789	0.097152	0.103124	0.399935	
1892000	0.092720	3	0.097834	0.394016	0.401256	0.106895	0.245119	0.267142	0.246983	0.240756	0.399789	0.097152	0.103124	0.399935	0.097834	0.394016	0.401256	0.106895	0.245119	0.267142	0.246983	0.240756	0.399789	0.097152	0.103124	0.399935	
1893000	0.092720	3	0.099213	0.388469	0.409377	0.102941	0.248733	0.254460	0.256956	0.239852	0.399789	0.097152	0.103124	0.399935	0.099213	0.388469	0.409377	0.102941	0.248733	0.254460	0.256956	0.239852	0.399789	0.097152	0.103124	0.399935	
1894000	0.092720	3	0.104219	0.395384	0.399017	0.101379	0.259899	0.262687	0.252536	0.224877	0.399789	0.097152	0.103124	0.399935	0.104219	0.395384	0.399017	0.101379	0.259899	0.262687	0.252536	0.224877	0.399789	0.097152	0.103124	0.399935	
1895000	0.092720	3	0.106104	0.385583	0.406695	0.101619	0.243193	0.256625	0.251137	0.249044	0.399789	0.097152	0.103124	0.399935	0.106104	0.385583	0.406695	0.101619	0.243193	0.256625	0.251137	0.249044	0.399789	0.097152	0.103124	0.399935	
1896000	0.092720	3	0.108201	0.394927	0.399466	0.097406	0.244112	0.266299	0.243272	0.246317	0.399789	0.097152	0.103124	0.399935	0.108201	0.394927	0.399466	0.097406	0.244112	0.266299	0.243272	0.246317	0.399789	0.097152	0.103124	0.399935	
1897000	0.092720	3	0.107630	0.386799	0.402819	0.102752	0.239504	0.262625	0.237774	0.260096	0.387252	0.100656	0.099864	0.412228	0.107630	0.386799	0.402819	0.102752	0.239504	0.262625	0.237774	0.260096	0.387252	0.100656	0.099864	0.412228	
1898000	0.092720	3	0.107990	0.391478	0.403235	0.097297	0.255534	0.265388	0.249783	0.229295	0.396609	0.101564	0.099272	0.402555	0.107990	0.391478	0.403235	0.097297	0.255534	0.265388	0.249783	0.229295	0.396609	0.101564	0.099272	0.402555	
1899000	0.092720	3	0.099643	0.402666	0.400457	0.097234	0.255843	0.267528	0.237427	0.239202	0.401593	0.104939	0.096416	0.397052	0.099643	0.402666	0.400457	0.097234	0.255843	0.267528	0.237427	0.239202	0.401593	0.104939	0.096416	0.397052	
1900000	0.092720	3	0.110720	0.397258	0.386800	0.105221	0.252590	0.260297	0.242059	0.245054	0.401593	0.104939	0.096416	0.397052	0.110720	0.397258	0.386800	0.105221	0.252590	0.260297	0.242059	0.245054	0.401593	0.104939	0.096416	0.397052	
1901000	0.092720	3	0.101840	0.392576	0.408872	0.096712	0.245580	0.265084	0.245386	0.243951	0.390263	0.098982	0.103299	0.407456	0.101840	0.392576	0.408872	0.096712	0.245580	0.265084	0.245386	0.243951	0.390263	0.098982	0.103299	0.407456	
1902000	0.092720	3	0.100844	0.401646	0.395862	0.101648	0.246870	0.262685	0.241506	0.248940	0.390263	0.098982	0.103299	0.407456	0.100844	0.401646	0.395862	0.101648	0.246870	0.262685	0.241506	0.248940	0.390263	0.098982	0.103299	0.407456	
