Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
55000	1.695768	2	0.119616	0.241814	0.132978	0.130888	0.244758	0.129946	0.119616	0.241814	0.132978	0.130888	0.244758	0.129946	0.119616	0.241814	0.132978	0.130888	0.244758	0.129946	0.251381	0.120805	0.132630	0.117530	0.122910	0.254744	0.251381	0.120805	0.132630	0.117530	0.122910	0.254744	0.251381	0.120805	0.132630	0.117530	0.122910	0.254744	
56000	1.695768	2	0.117409	0.245538	0.124954	0.145180	0.225190	0.141729	0.117409	0.245538	0.124954	0.145180	0.225190	0.141729	0.117409	0.245538	0.124954	0.145180	0.225190	0.141729	0.250305	0.128399	0.129071	0.123009	0.122112	0.247104	0.250305	0.128399	0.129071	0.123009	0.122112	0.247104	0.250305	0.128399	0.129071	0.123009	0.122112	0.247104	
57000	1.695768	2	0.132856	0.237281	0.133619	0.133726	0.237783	0.124736	0.132856	0.237281	0.133619	0.133726	0.237783	0.124736	0.132856	0.237281	0.133619	0.133726	0.237783	0.124736	0.279689	0.130893	0.149629	0.114389	0.101227	0.224173	0.279689	0.130893	0.149629	0.114389	0.101227	0.224173	0.279689	0.130893	0.149629	0.114389	0.101227	0.224173	
58000	1.695768	2	0.121748	0.237090	0.127444	0.141013	0.238056	0.134650	0.121748	0.237090	0.127444	0.141013	0.238056	0.134650	0.121748	0.237090	0.127444	0.141013	0.238056	0.134650	0.261541	0.129019	0.139868	0.113533	0.115341	0.240698	0.261541	0.129019	0.139868	0.113533	0.115341	0.240698	0.261541	0.129019	0.139868	0.113533	0.115341	0.240698	
59000	1.695768	2	0.124187	0.240091	0.127672	0.133732	0.243125	0.131194	0.124187	0.240091	0.127672	0.133732	0.243125	0.131194	0.124187	0.240091	0.127672	0.133732	0.243125	0.131194	0.236652	0.122088	0.137709	0.119522	0.123389	0.260641	0.236652	0.122088	0.137709	0.119522	0.123389	0.260641	0.236652	0.122088	0.137709	0.119522	0.123389	0.260641	
60000	1.695768	2	0.129639	0.240561	0.124184	0.136748	0.233252	0.135615	0.129639	0.240561	0.124184	0.136748	0.233252	0.135615	0.129639	0.240561	0.124184	0.136748	0.233252	0.135615	0.250071	0.138202	0.137337	0.116749	0.114128	0.243513	0.250071	0.138202	0.137337	0.116749	0.114128	0.243513	0.250071	0.138202	0.137337	0.116749	0.114128	0.243513	
61000	1.695768	2	0.129792	0.246433	0.129507	0.132463	0.236939	0.124866	0.129792	0.246433	0.129507	0.132463	0.236939	0.124866	0.129792	0.246433	0.129507	0.132463	0.236939	0.124866	0.238023	0.133941	0.146935	0.110713	0.114485	0.255903	0.238023	0.133941	0.146935	0.110713	0.114485	0.255903	0.238023	0.133941	0.146935	0.110713	0.114485	0.255903	
62000	1.695768	2	0.132629	0.234384	0.127201	0.139213	0.234833	0.131739	0.132629	0.234384	0.127201	0.139213	0.234833	0.131739	0.132629	0.234384	0.127201	0.139213	0.234833	0.131739	0.266327	0.124045	0.141559	0.116625	0.115755	0.235689	0.266327	0.124045	0.141559	0.116625	0.115755	0.235689	0.266327	0.124045	0.141559	0.116625	0.115755	0.235689	
63000	1.695768	2	0.119188	0.235152	0.129072	0.139063	0.247845	0.129681	0.119188	0.235152	0.129072	0.139063	0.247845	0.129681	0.119188	0.235152	0.129072	0.139063	0.247845	0.129681	0.252056	0.132229	0.139325	0.115232	0.110080	0.251078	0.252056	0.132229	0.139325	0.115232	0.110080	0.251078	0.252056	0.132229	0.139325	0.115232	0.110080	0.251078	
64000	1.695768	2	0.120155	0.244578	0.125343	0.140640	0.239296	0.129988	0.120155	0.244578	0.125343	0.140640	0.239296	0.129988	0.120155	0.244578	0.125343	0.140640	0.239296	0.129988	0.271271	0.122339	0.139278	0.118995	0.118201	0.229917	0.271271	0.122339	0.139278	0.118995	0.118201	0.229917	0.271271	0.122339	0.139278	0.118995	0.118201	0.229917	
