Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
7208000	5.678653	4	0.230069	0.234299	0.234299	2.121563	0.512904	0.512904	0.234299	0.230069	2.121563	
7209000	5.089523	6	0.227021	0.234286	0.227021	2.920982	0.441648	0.623625	0.227021	0.184555	2.920982	
7210000	3.992300	4	0.234110	0.234110	0.234110	2.616292	0.510135	0.510135	0.225645	0.225645	2.616292	
7211000	5.204307	3	0.233586	0.233586	0.233586	2.211275	0.536873	0.536873	0.233586	0.233586	2.211275	
7212000	4.468960	2	0.240793	0.240793	0.240793	2.623036	0.240793	0.240793	0.240793	0.240793	2.623036	
7213000	5.160985	5	0.237428	0.237428	0.237428	2.314958	0.367620	0.580098	0.237428	0.202909	2.314958	
7214000	5.944909	5	0.245663	0.245663	0.246130	1.909286	0.519614	0.604721	0.245663	0.246130	1.909286	
7215000	4.754496	4	0.246962	0.246962	0.246962	1.969339	0.509720	0.509720	0.246962	0.131966	1.969339	
7216000	6.003840	7	0.274733	0.236172	0.236172	2.342477	0.413361	0.537634	0.252454	0.182207	2.342477	
7217000	6.332241	5	0.233111	0.233111	0.233111	2.741080	0.490759	0.537848	0.233111	0.199839	2.741080	
7218000	7.329000	4	0.230589	0.230589	0.230589	2.209079	0.459361	0.567892	0.230589	0.230589	2.209079	
7219000	5.041703	4	0.240150	0.240150	0.240150	3.175842	0.537757	0.537757	0.240150	0.198060	3.175842	
7220000	4.353667	6	0.246940	0.246940	0.246940	2.664755	0.446972	0.589179	0.222753	0.174003	2.664755	
7221000	5.604236	5	0.265055	0.248459	0.247842	2.700031	0.474695	0.474695	0.248459	0.247842	2.700031	
7222000	4.438604	4	0.270826	0.246032	0.246032	2.588196	0.408064	0.408064	0.246032	0.246032	2.588196	
7223000	5.110545	5	0.244255	0.244255	0.244255	2.370901	0.489398	0.537434	0.244255	0.155625	2.370901	
