Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	
212000	1.089368	2	7.553682	7.553682	7.553682	49.685542	7.553682	7.553682	7.553682	7.553682	49.685542	
213000	1.255568	2	7.925959	7.925959	7.925959	48.723829	7.925959	7.925959	7.925959	7.925959	48.723829	
214000	2.049915	2	7.728331	7.728331	7.728331	50.955058	7.728331	7.728331	7.728331	7.728331	50.955058	
215000	1.555272	2	7.769423	7.769423	7.769423	50.112162	7.769423	7.769423	7.769423	7.769423	50.112162	
216000	0.794657	2	8.103340	8.103340	8.103340	49.488951	8.103340	8.103340	8.103340	8.103340	49.488951	
217000	0.265257	2	7.753604	7.753604	7.753604	49.237173	7.753604	7.753604	7.753604	7.753604	49.237173	
218000	0.353624	2	7.407287	7.407287	7.407287	48.042417	7.407287	7.407287	7.407287	7.407287	48.042417	
219000	1.232892	2	7.710582	7.710582	7.710582	49.509086	7.710582	7.710582	7.710582	7.710582	49.509086	
220000	3.362254	2	7.784249	7.784249	7.784249	50.237580	7.784249	7.784249	7.784249	7.784249	50.237580	
221000	0.836513	2	7.665061	7.665061	7.665061	49.107748	7.665061	7.665061	7.665061	7.665061	49.107748	
222000	2.232452	2	7.699985	7.699985	7.699985	51.749787	7.699985	7.699985	7.699985	7.699985	51.749787	
223000	0.377011	2	7.935536	7.935536	7.935536	49.003484	7.935536	7.935536	7.935536	7.935536	49.003484	
224000	0.704112	2	7.691023	7.691023	7.691023	49.240020	7.691023	7.691023	7.691023	7.691023	49.240020	
225000	0.652762	2	7.378699	7.378699	7.378699	51.133230	7.378699	7.378699	7.378699	7.378699	51.133230	
226000	2.666267	2	7.924914	7.924914	7.924914	48.805207	7.924914	7.924914	7.924914	7.924914	48.805207	
227000	1.532927	2	7.317256	7.317256	7.317256	47.621073	7.317256	7.317256	7.317256	7.317256	47.621073	
228000	0.977065	2	7.512785	7.512785	7.512785	48.503531	7.512785	7.512785	7.512785	7.512785	48.503531	
229000	0.685025	2	7.485366	7.485366	7.485366	50.573204	7.485366	7.485366	7.485366	7.485366	50.573204	
230000	1.072395	2	7.931248	7.931248	7.931248	49.113921	7.931248	7.931248	7.931248	7.931248	49.113921	
231000	0.678634	2	7.678167	7.678167	7.678167	48.673067	7.678167	7.678167	7.678167	7.678167	48.673067	
232000	0.674600	2	8.104536	8.104536	8.104536	49.847387	8.104536	8.104536	8.104536	8.104536	49.847387	
233000	0.824709	2	8.127055	8.127055	8.127055	48.572793	8.127055	8.127055	8.127055	8.127055	48.572793	
234000	0.937606	2	7.737719	7.737719	7.737719	50.060553	7.737719	7.737719	7.737719	7.737719	50.060553	
235000	1.227840	2	7.730558	7.730558	7.730558	48.090145	7.730558	7.730558	7.730558	7.730558	48.090145	
236000	0.843544	2	7.838738	7.838738	7.838738	49.177993	7.838738	7.838738	7.838738	7.838738	49.177993	
237000	2.023350	2	7.635106	7.635106	7.635106	50.632283	7.635106	7.635106	7.635106	7.635106	50.632283	
238000	0.334952	2	7.533607	7.533607	7.533607	50.923911	7.533607	7.533607	7.533607	7.533607	50.923911	
239000	1.140449	2	8.054525	8.054525	8.054525	49.465413	8.054525	8.054525	8.054525	8.054525	49.465413	
240000	2.090406	2	8.269551	8.269551	8.269551	47.663657	8.269551	8.269551	8.269551	8.269551	47.663657	
241000	0.657652	2	7.805062	7.805062	7.805062	47.953065	7.805062	7.805062	7.805062	7.805062	47.953065	
242000	0.260750	2	7.685013	7.685013	7.685013	50.613174	7.685013	7.685013	7.685013	7.685013	50.613174	
243000	0.662900	2	8.374867	8.374867	8.374867	50.009137	8.374867	8.374867	8.374867	8.374867	50.009137	
