Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	
176000	1.137478	2	7.232822	7.232822	7.232822	45.272477	7.232822	7.232822	7.232822	7.232822	45.272477	
177000	1.137478	2	7.419864	7.419864	7.419864	48.064333	7.419864	7.419864	7.419864	7.419864	48.064333	
178000	1.137478	2	7.267458	7.267458	7.267458	46.650310	7.267458	7.267458	7.267458	7.267458	46.650310	
179000	1.137478	2	7.372038	7.372038	7.372038	47.252773	7.372038	7.372038	7.372038	7.372038	47.252773	
180000	1.137478	2	7.251957	7.251957	7.251957	46.482882	7.251957	7.251957	7.251957	7.251957	46.482882	
181000	1.137478	2	7.298945	7.298945	7.298945	48.937961	7.298945	7.298945	7.298945	7.298945	48.937961	
182000	1.137478	2	7.189060	7.189060	7.189060	48.337621	7.189060	7.189060	7.189060	7.189060	48.337621	
183000	1.137478	2	7.506977	7.506977	7.506977	47.138103	7.506977	7.506977	7.506977	7.506977	47.138103	
184000	1.137478	2	7.614973	7.614973	7.614973	48.210173	7.614973	7.614973	7.614973	7.614973	48.210173	
185000	1.137478	2	7.693182	7.693182	7.693182	47.919946	7.693182	7.693182	7.693182	7.693182	47.919946	
186000	1.137478	2	7.450335	7.450335	7.450335	47.050080	7.450335	7.450335	7.450335	7.450335	47.050080	
187000	1.137478	2	7.568130	7.568130	7.568130	47.501581	7.568130	7.568130	7.568130	7.568130	47.501581	
188000	1.137478	2	7.359770	7.359770	7.359770	48.230896	7.359770	7.359770	7.359770	7.359770	48.230896	
189000	1.137478	2	7.657141	7.657141	7.657141	46.875725	7.657141	7.657141	7.657141	7.657141	46.875725	
190000	1.137478	2	7.594749	7.594749	7.594749	47.446164	7.594749	7.594749	7.594749	7.594749	47.446164	
191000	1.137478	2	7.314108	7.314108	7.314108	48.544128	7.314108	7.314108	7.314108	7.314108	48.544128	
192000	1.137478	2	7.974320	7.974320	7.974320	47.101987	7.974320	7.974320	7.974320	7.974320	47.101987	
193000	1.137478	2	8.395367	8.395367	8.395367	46.539953	8.395367	8.395367	8.395367	8.395367	46.539953	
194000	1.137478	2	7.250021	7.250021	7.250021	46.507589	7.250021	7.250021	7.250021	7.250021	46.507589	
195000	1.137478	2	7.792171	7.792171	7.792171	46.954552	7.792171	7.792171	7.792171	7.792171	46.954552	
