Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
6113000	1.137478	5	0.240831	0.240831	0.240831	2.897071	0.419368	0.489343	0.240831	0.186366	2.897071	
6114000	1.137478	3	0.254862	0.254862	0.254862	2.486296	0.513602	0.513602	0.254862	0.254862	2.486296	
6115000	1.137478	4	0.239926	0.239926	0.239926	2.722844	0.476100	0.476100	0.239926	0.171363	2.722844	
6116000	1.137478	4	0.248435	0.248435	0.248435	2.806758	0.404914	0.637276	0.248435	0.248435	2.806758	
6117000	1.137478	5	0.240674	0.240674	0.240674	2.140948	0.450696	0.563952	0.240674	0.179385	2.140948	
6118000	1.137478	4	0.250668	0.270554	0.250668	2.547273	0.546028	0.546028	0.250668	0.250668	2.547273	
6119000	1.137478	5	0.230423	0.239180	0.230423	3.019374	0.445448	0.445448	0.239180	0.152211	3.019374	
6120000	1.137478	4	0.235992	0.235992	0.235992	2.387670	0.336203	0.518119	0.235992	0.235992	2.387670	
6121000	1.137478	3	0.244304	0.244304	0.244304	3.104188	0.384442	0.384442	0.244304	0.244304	3.104188	
6122000	1.137478	4	0.249094	0.264970	0.264970	2.832776	0.454614	0.454614	0.249094	0.249094	2.832776	
6123000	1.137478	3	0.248375	0.248375	0.248375	3.149883	0.432033	0.432033	0.248375	0.248375	3.149883	
6124000	1.137478	5	0.242478	0.261430	0.299357	3.031150	0.434968	0.434968	0.242478	0.242478	3.031150	
6125000	1.137478	5	0.252039	0.275126	0.252039	3.115161	0.426294	0.426294	0.252039	0.159937	3.115161	
6126000	1.137478	4	0.238275	0.238275	0.238275	2.735424	0.447624	0.452744	0.238275	0.238275	2.735424	
6127000	1.137478	3	0.250341	0.250341	0.250341	2.167630	0.444213	0.444213	0.250341	0.250341	2.167630	
6128000	1.137478	4	0.257241	0.257241	0.257241	2.749628	0.493288	0.493288	0.257241	0.154869	2.749628	
6129000	1.137478	4	0.239228	0.258386	0.258386	2.889593	0.503507	0.503507	0.239228	0.239228	2.889593	
6130000	1.137478	4	0.238562	0.238562	0.238562	2.677953	0.653276	0.510364	0.238562	0.238562	2.677953	
6131000	1.137478	4	0.221386	0.226906	0.221386	2.583757	0.538316	0.538316	0.221386	0.221386	2.583757	
6132000	1.137478	6	0.225804	0.225804	0.225804	3.037384	0.490677	0.540322	0.225804	0.145343	2.119788	
6133000	1.137478	3	0.235894	0.235894	0.235894	2.117925	0.426619	0.426619	0.235894	0.235894	2.117925	
6134000	1.137478	4	0.226142	0.287229	0.226142	2.793370	0.509905	0.509905	0.226142	0.226142	2.793370	
6135000	1.137478	4	0.250127	0.250127	0.250127	2.568823	0.500465	0.500465	0.250127	0.250127	2.228421	
6136000	1.137478	4	0.255649	0.255649	0.255649	3.001225	0.450980	0.450980	0.255649	0.237883	3.001225	
6137000	1.137478	4	0.232007	0.232007	0.232007	2.498147	0.406077	0.406077	0.232007	0.227876	2.498147	
6138000	1.137478	3	0.281124	0.281124	0.281124	3.190742	0.509320	0.509320	0.281124	0.281124	3.190742	
6139000	1.137478	3	0.239616	0.239616	0.239616	2.926235	0.528620	0.528620	0.239616	0.239616	2.926235	
6140000	1.137478	3	0.237951	0.237951	0.237951	3.010114	0.412110	0.412110	0.237951	0.237951	3.010114	
6141000	1.137478	4	0.245680	0.245680	0.245680	3.010923	0.491912	0.491912	0.245680	0.245680	2.306813	
6142000	1.137478	3	0.248454	0.248454	0.248454	2.855203	0.478260	0.478260	0.248454	0.248454	2.855203	
6143000	1.137478	4	0.240880	0.240880	0.240880	2.703728	0.494764	0.494764	0.240880	0.181212	2.703728	
6144000	1.137478	4	0.235847	0.235847	0.235847	2.698651	0.442672	0.442672	0.235847	0.144987	2.698651	
6145000	1.137478	4	0.243951	0.243951	0.243951	2.891494	0.503816	0.503816	0.243951	0.156102	2.891494	
6146000	1.137478	4	0.233975	0.233975	0.233975	2.862293	0.387657	0.642704	0.233975	0.233975	2.862293	
6147000	1.137478	4	0.237339	0.237339	0.237339	2.401902	0.473356	0.473356	0.237339	0.160511	2.401902	
6148000	1.137478	4	0.240360	0.240360	0.240360	2.652615	0.445943	0.445943	0.240360	0.222948	2.652615	
6149000	1.137478	3	0.254471	0.254471	0.254471	2.876855	0.475298	0.475298	0.254471	0.254471	2.876855	
6150000	1.137478	3	0.243967	0.243967	0.243967	3.011129	0.459735	0.459735	0.243967	0.243967	3.011129	
6151000	1.137478	3	0.237335	0.237335	0.237335	2.473277	0.488659	0.488659	0.237335	0.237335	2.473277	
6152000	1.137478	4	0.245119	0.245119	0.245119	2.918052	0.478261	0.478261	0.245119	0.151987	2.918052	
6153000	1.137478	4	0.246042	0.246042	0.246042	2.850060	0.490936	0.490936	0.238788	0.246042	2.850060	
6154000	1.137478	4	0.251240	0.251240	0.251240	2.335898	0.361078	0.582473	0.251240	0.251240	2.335898	
6155000	1.137478	3	0.246772	0.246772	0.246772	2.086470	0.429684	0.429684	0.246772	0.246772	2.086470	
