Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
9258000	1.137478	4	0.383682	0.373434	0.063742	0.179142	0.383682	0.373434	0.063742	0.179142	0.160401	0.319140	0.161660	0.358800	0.396789	0.400875	0.052643	0.149693	0.280193	0.253064	0.203342	0.263402	0.280193	0.253064	0.203342	0.263402	0.396789	0.400875	0.052643	0.149693	0.160401	0.319140	0.161660	0.358800	0.396789	0.400875	0.052643	0.149693	
9259000	1.137478	2	0.425404	0.369297	0.062123	0.143175	0.425404	0.369297	0.062123	0.143175	0.278752	0.266856	0.181541	0.272852	0.425404	0.369297	0.062123	0.143175	0.278752	0.266856	0.181541	0.272852	0.278752	0.266856	0.181541	0.272852	0.425404	0.369297	0.062123	0.143175	0.278752	0.266856	0.181541	0.272852	0.425404	0.369297	0.062123	0.143175	
9260000	1.137478	3	0.418706	0.379653	0.055969	0.145672	0.418706	0.379653	0.055969	0.145672	0.190313	0.475545	0.070756	0.263387	0.418706	0.379653	0.055969	0.145672	0.274579	0.260226	0.193090	0.272105	0.274579	0.260226	0.193090	0.272105	0.418706	0.379653	0.055969	0.145672	0.274579	0.260226	0.193090	0.272105	0.418706	0.379653	0.055969	0.145672	
9261000	1.137478	2	0.418706	0.379653	0.055969	0.145672	0.418706	0.379653	0.055969	0.145672	0.274223	0.242155	0.191943	0.291678	0.418706	0.379653	0.055969	0.145672	0.274223	0.242155	0.191943	0.291678	0.274223	0.242155	0.191943	0.291678	0.418706	0.379653	0.055969	0.145672	0.274223	0.242155	0.191943	0.291678	0.418706	0.379653	0.055969	0.145672	
9262000	1.137478	2	0.418706	0.379653	0.055969	0.145672	0.418706	0.379653	0.055969	0.145672	0.258619	0.278595	0.177339	0.285446	0.418706	0.379653	0.055969	0.145672	0.258619	0.278595	0.177339	0.285446	0.258619	0.278595	0.177339	0.285446	0.418706	0.379653	0.055969	0.145672	0.258619	0.278595	0.177339	0.285446	0.418706	0.379653	0.055969	0.145672	
9263000	1.137478	2	0.418706	0.379653	0.055969	0.145672	0.418706	0.379653	0.055969	0.145672	0.254541	0.275266	0.175653	0.294540	0.418706	0.379653	0.055969	0.145672	0.254541	0.275266	0.175653	0.294540	0.254541	0.275266	0.175653	0.294540	0.418706	0.379653	0.055969	0.145672	0.254541	0.275266	0.175653	0.294540	0.418706	0.379653	0.055969	0.145672	
9264000	1.137478	2	0.417693	0.381243	0.058145	0.142919	0.417693	0.381243	0.058145	0.142919	0.277620	0.267496	0.187585	0.267299	0.417693	0.381243	0.058145	0.142919	0.277620	0.267496	0.187585	0.267299	0.277620	0.267496	0.187585	0.267299	0.417693	0.381243	0.058145	0.142919	0.277620	0.267496	0.187585	0.267299	0.417693	0.381243	0.058145	0.142919	
9265000	1.137478	2	0.417693	0.381243	0.058145	0.142919	0.417693	0.381243	0.058145	0.142919	0.275526	0.262657	0.188709	0.273108	0.417693	0.381243	0.058145	0.142919	0.275526	0.262657	0.188709	0.273108	0.275526	0.262657	0.188709	0.273108	0.417693	0.381243	0.058145	0.142919	0.275526	0.262657	0.188709	0.273108	0.417693	0.381243	0.058145	0.142919	
9266000	1.137478	3	0.417693	0.381243	0.058145	0.142919	0.417693	0.381243	0.058145	0.142919	0.338791	0.258965	0.104260	0.297984	0.417693	0.381243	0.058145	0.142919	0.270092	0.260392	0.190469	0.279047	0.270092	0.260392	0.190469	0.279047	0.417693	0.381243	0.058145	0.142919	0.270092	0.260392	0.190469	0.279047	0.417693	0.381243	0.058145	0.142919	
9267000	1.137478	2	0.417693	0.381243	0.058145	0.142919	0.417693	0.381243	0.058145	0.142919	0.274088	0.273080	0.167895	0.284937	0.417693	0.381243	0.058145	0.142919	0.274088	0.273080	0.167895	0.284937	0.274088	0.273080	0.167895	0.284937	0.417693	0.381243	0.058145	0.142919	0.274088	0.273080	0.167895	0.284937	0.417693	0.381243	0.058145	0.142919	
