Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1867000	71.353907	3	0.098301	0.405388	0.402449	0.093862	0.236646	0.255612	0.259124	0.248618	0.386080	0.100987	0.100746	0.412187	0.098301	0.405388	0.402449	0.093862	0.236646	0.255612	0.259124	0.248618	0.386080	0.100987	0.100746	0.412187	
1868000	71.353907	3	0.098301	0.405388	0.402449	0.093862	0.246026	0.258808	0.240093	0.255073	0.386080	0.100987	0.100746	0.412187	0.098301	0.405388	0.402449	0.093862	0.246026	0.258808	0.240093	0.255073	0.386080	0.100987	0.100746	0.412187	
1869000	71.353907	3	0.098301	0.405388	0.402449	0.093862	0.242454	0.254417	0.248399	0.254730	0.384733	0.102834	0.107109	0.405325	0.098301	0.405388	0.402449	0.093862	0.242454	0.254417	0.248399	0.254730	0.384733	0.102834	0.107109	0.405325	
1870000	71.353907	3	0.098301	0.405388	0.402449	0.093862	0.227110	0.272076	0.233703	0.267111	0.385478	0.104388	0.106118	0.404016	0.098301	0.405388	0.402449	0.093862	0.227110	0.272076	0.233703	0.267111	0.385478	0.104388	0.106118	0.404016	
1871000	71.353907	3	0.098301	0.405388	0.402449	0.093862	0.241550	0.266436	0.242586	0.249428	0.392218	0.101307	0.107295	0.399180	0.098301	0.405388	0.402449	0.093862	0.241550	0.266436	0.242586	0.249428	0.392218	0.101307	0.107295	0.399180	
1872000	71.353907	3	0.099407	0.408734	0.393031	0.098828	0.246162	0.274689	0.236818	0.242331	0.388413	0.099397	0.106932	0.405258	0.099407	0.408734	0.393031	0.098828	0.246162	0.274689	0.236818	0.242331	0.388413	0.099397	0.106932	0.405258	
1873000	71.353907	3	0.099407	0.408734	0.393031	0.098828	0.229116	0.256615	0.259052	0.255217	0.388413	0.099397	0.106932	0.405258	0.099407	0.408734	0.393031	0.098828	0.229116	0.256615	0.259052	0.255217	0.388413	0.099397	0.106932	0.405258	
1874000	71.353907	3	0.099407	0.408734	0.393031	0.098828	0.235633	0.260059	0.255913	0.248395	0.388413	0.099397	0.106932	0.405258	0.099407	0.408734	0.393031	0.098828	0.235633	0.260059	0.255913	0.248395	0.388413	0.099397	0.106932	0.405258	
1875000	71.353907	3	0.095179	0.406661	0.402696	0.095464	0.238278	0.255716	0.252424	0.253582	0.388413	0.099397	0.106932	0.405258	0.095179	0.406661	0.402696	0.095464	0.238278	0.255716	0.252424	0.253582	0.388413	0.099397	0.106932	0.405258	
1876000	71.353907	3	0.099101	0.400371	0.396659	0.103868	0.227832	0.274409	0.248499	0.249260	0.388413	0.099397	0.106932	0.405258	0.099101	0.400371	0.396659	0.103868	0.227832	0.274409	0.248499	0.249260	0.388413	0.099397	0.106932	0.405258	
