Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	
345000	0.879386	1	0.880600	0.880600	0.880600	0.880600	
346000	0.879386	1	0.889305	0.889305	0.889305	0.889305	
347000	0.879386	1	0.942782	0.942782	0.942782	0.942782	
348000	0.879386	1	0.934745	0.934745	0.934745	0.934745	
349000	0.879386	1	0.928455	0.928455	0.928455	0.928455	
350000	0.879386	1	0.886065	0.886065	0.886065	0.886065	
351000	0.879386	1	0.916449	0.916449	0.916449	0.916449	
352000	0.879386	1	0.903756	0.903756	0.903756	0.903756	
353000	0.879386	1	0.998749	0.998749	0.998749	0.998749	
354000	0.879386	1	0.869116	0.869116	0.869116	0.869116	
355000	0.879386	1	0.917715	0.917715	0.917715	0.917715	
356000	0.879386	1	0.951822	0.951822	0.951822	0.951822	
357000	0.879386	1	0.895563	0.895563	0.895563	0.895563	
358000	0.879386	1	0.939798	0.939798	0.939798	0.939798	
359000	0.879386	1	0.910881	0.910881	0.910881	0.910881	
360000	0.879386	1	0.936050	0.936050	0.936050	0.936050	
361000	0.879386	1	0.925315	0.925315	0.925315	0.925315	
362000	0.879386	1	0.902606	0.902606	0.902606	0.902606	
363000	0.879386	1	0.849437	0.849437	0.849437	0.849437	
364000	0.879386	1	0.888387	0.888387	0.888387	0.888387	
365000	0.879386	1	0.972757	0.972757	0.972757	0.972757	
366000	0.879386	1	0.931357	0.931357	0.931357	0.931357	
367000	0.879386	1	0.841988	0.841988	0.841988	0.841988	
368000	0.879386	1	0.920173	0.920173	0.920173	0.920173	
369000	0.879386	1	0.892660	0.892660	0.892660	0.892660	
370000	0.879386	1	0.963220	0.963220	0.963220	0.963220	
371000	0.879386	1	0.934180	0.934180	0.934180	0.934180	
372000	0.879386	1	0.861176	0.861176	0.861176	0.861176	
373000	0.879386	1	0.992220	0.992220	0.992220	0.992220	
374000	0.879386	1	0.910551	0.910551	0.910551	0.910551	
375000	0.879386	1	0.886643	0.886643	0.886643	0.886643	
376000	0.879386	1	0.819661	0.819661	0.819661	0.819661	
377000	0.879386	1	0.925386	0.925386	0.925386	0.925386	
378000	0.879386	1	0.854383	0.854383	0.854383	0.854383	
379000	0.879386	1	0.938957	0.938957	0.938957	0.938957	
380000	0.879386	1	0.906442	0.906442	0.906442	0.906442	
381000	0.879386	1	0.894748	0.894748	0.894748	0.894748	
382000	0.879386	1	0.846047	0.846047	0.846047	0.846047	
383000	0.879386	1	0.950849	0.950849	0.950849	0.950849	
384000	0.879386	1	0.850051	0.850051	0.850051	0.850051	
385000	0.879386	1	0.952201	0.952201	0.952201	0.952201	
386000	0.879386	1	0.900722	0.900722	0.900722	0.900722	
387000	0.879386	1	0.950153	0.950153	0.950153	0.950153	
388000	0.879386	1	0.887021	0.887021	0.887021	0.887021	
389000	0.879386	1	0.916101	0.916101	0.916101	0.916101	
390000	0.879386	1	0.939471	0.939471	0.939471	0.939471	
391000	0.879386	1	0.905460	0.905460	0.905460	0.905460	
392000	0.879386	1	0.977670	0.977670	0.977670	0.977670	
393000	0.879386	1	0.892856	0.892856	0.892856	0.892856	
394000	0.879386	1	0.941139	0.941139	0.941139	0.941139	
395000	0.879386	1	0.921646	0.921646	0.921646	0.921646	
396000	0.879386	1	0.931094	0.931094	0.931094	0.931094	
397000	0.879386	1	0.890970	0.890970	0.890970	0.890970	
398000	0.879386	1	0.902808	0.902808	0.902808	0.902808	
399000	0.879386	1	0.931722	0.931722	0.931722	0.931722	
400000	0.879386	1	0.895750	0.895750	0.895750	0.895750	
401000	0.879386	1	0.965648	0.965648	0.965648	0.965648	
402000	0.879386	1	0.891130	0.891130	0.891130	0.891130	
403000	0.879386	1	0.913905	0.913905	0.913905	0.913905	
404000	0.879386	1	0.983422	0.983422	0.983422	0.983422	
405000	0.879386	1	0.932115	0.932115	0.932115	0.932115	
406000	0.879386	1	0.932145	0.932145	0.932145	0.932145	
407000	0.879386	1	0.916117	0.916117	0.916117	0.916117	
408000	0.879386	1	0.950707	0.950707	0.950707	0.950707	
409000	0.879386	1	0.928485	0.928485	0.928485	0.928485	
410000	0.879386	1	0.838863	0.838863	0.838863	0.838863	
411000	0.879386	1	0.960380	0.960380	0.960380	0.960380	
412000	0.879386	1	0.869833	0.869833	0.869833	0.869833	
413000	0.879386	1	0.888318	0.888318	0.888318	0.888318	
414000	0.879386	1	0.910781	0.910781	0.910781	0.910781	
415000	0.879386	1	0.863141	0.863141	0.863141	0.863141	
416000	0.879386	1	0.883084	0.883084	0.883084	0.883084	
417000	0.879386	1	0.908003	0.908003	0.908003	0.908003	
418000	0.879386	1	0.877583	0.877583	0.877583	0.877583	
419000	0.879386	1	0.968640	0.968640	0.968640	0.968640	
420000	0.879386	1	0.873608	0.873608	0.873608	0.873608	
421000	0.879386	1	0.984113	0.984113	0.984113	0.984113	
422000	0.879386	1	0.968023	0.968023	0.968023	0.968023	
423000	0.879386	1	0.848680	0.848680	0.848680	0.848680	
424000	0.879386	1	0.997361	0.997361	0.997361	0.997361	
425000	0.879386	1	0.933871	0.933871	0.933871	0.933871	
426000	0.879386	1	0.895122	0.895122	0.895122	0.895122	
427000	0.879386	1	0.847700	0.847700	0.847700	0.847700	
428000	0.879386	1	0.906022	0.906022	0.906022	0.906022	
429000	0.879386	1	0.917197	0.917197	0.917197	0.917197	
430000	0.879386	1	0.879772	0.879772	0.879772	0.879772	
431000	0.879386	1	0.964517	0.964517	0.964517	0.964517	
432000	0.879386	1	1.048176	1.048176	1.048176	1.048176	
433000	0.879386	1	0.897539	0.897539	0.897539	0.897539	
434000	0.879386	1	0.951820	0.951820	0.951820	0.951820	
435000	0.879386	1	0.975511	0.975511	0.975511	0.975511	
436000	0.879386	1	0.950309	0.950309	0.950309	0.950309	
437000	0.879386	1	0.945711	0.945711	0.945711	0.945711	
438000	0.879386	1	0.874850	0.874850	0.874850	0.874850	
439000	0.879386	1	0.833202	0.833202	0.833202	0.833202	
440000	0.879386	1	0.942057	0.942057	0.942057	0.942057	
441000	0.879386	1	0.942316	0.942316	0.942316	0.942316	
442000	0.879386	1	0.982854	0.982854	0.982854	0.982854	
443000	0.879386	1	0.901417	0.901417	0.901417	0.901417	
444000	0.879386	1	0.924693	0.924693	0.924693	0.924693	
