Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	
5481000	0.879386	1	0.282994	0.218488	0.192768	0.305749	0.282994	0.218488	0.192768	0.305749	0.282994	0.218488	0.192768	0.305749	0.282994	0.218488	0.192768	0.305749	
5482000	0.879386	1	0.262192	0.217706	0.215518	0.304585	0.262192	0.217706	0.215518	0.304585	0.262192	0.217706	0.215518	0.304585	0.262192	0.217706	0.215518	0.304585	
5483000	0.879386	1	0.269607	0.220722	0.203287	0.306384	0.269607	0.220722	0.203287	0.306384	0.269607	0.220722	0.203287	0.306384	0.269607	0.220722	0.203287	0.306384	
5484000	0.879386	1	0.274456	0.203754	0.223796	0.297994	0.274456	0.203754	0.223796	0.297994	0.274456	0.203754	0.223796	0.297994	0.274456	0.203754	0.223796	0.297994	
5485000	0.879386	2	0.205237	0.248353	0.327483	0.218927	0.316986	0.190993	0.163475	0.328546	0.316986	0.190993	0.163475	0.328546	0.316986	0.190993	0.163475	0.328546	
5486000	0.879386	1	0.276590	0.220398	0.195081	0.307931	0.276590	0.220398	0.195081	0.307931	0.276590	0.220398	0.195081	0.307931	0.276590	0.220398	0.195081	0.307931	
5487000	0.879386	2	0.275660	0.244891	0.210829	0.268620	0.275660	0.244891	0.210829	0.268620	0.382687	0.153005	0.156268	0.308040	0.382687	0.153005	0.156268	0.308040	
5488000	0.879386	1	0.286135	0.229982	0.145122	0.338761	0.286135	0.229982	0.145122	0.338761	0.286135	0.229982	0.145122	0.338761	0.286135	0.229982	0.145122	0.338761	
5489000	0.879386	1	0.309640	0.247234	0.130078	0.313048	0.309640	0.247234	0.130078	0.313048	0.309640	0.247234	0.130078	0.313048	0.309640	0.247234	0.130078	0.313048	
5490000	0.879386	1	0.320000	0.179056	0.160516	0.340427	0.320000	0.179056	0.160516	0.340427	0.320000	0.179056	0.160516	0.340427	0.320000	0.179056	0.160516	0.340427	
5491000	0.879386	1	0.299957	0.192689	0.170686	0.336669	0.299957	0.192689	0.170686	0.336669	0.299957	0.192689	0.170686	0.336669	0.299957	0.192689	0.170686	0.336669	
5492000	0.879386	1	0.258647	0.229144	0.192392	0.319816	0.258647	0.229144	0.192392	0.319816	0.258647	0.229144	0.192392	0.319816	0.258647	0.229144	0.192392	0.319816	
5493000	0.879386	1	0.264698	0.215998	0.204759	0.314545	0.264698	0.215998	0.204759	0.314545	0.264698	0.215998	0.204759	0.314545	0.264698	0.215998	0.204759	0.314545	
5494000	0.879386	2	0.190496	0.236772	0.214300	0.358432	0.261370	0.212735	0.187853	0.338043	0.261370	0.212735	0.187853	0.338043	0.261370	0.212735	0.187853	0.338043	
5495000	0.879386	1	0.295142	0.212666	0.192739	0.299452	0.295142	0.212666	0.192739	0.299452	0.295142	0.212666	0.192739	0.299452	0.295142	0.212666	0.192739	0.299452	
5496000	0.879386	1	0.280876	0.222499	0.222576	0.274050	0.280876	0.222499	0.222576	0.274050	0.280876	0.222499	0.222576	0.274050	0.280876	0.222499	0.222576	0.274050	
5497000	0.879386	2	0.183928	0.364216	0.214467	0.237388	0.256751	0.217409	0.210305	0.315536	0.256751	0.217409	0.210305	0.315536	0.256751	0.217409	0.210305	0.315536	
5498000	0.879386	2	0.249517	0.244717	0.251134	0.254632	0.249517	0.244717	0.251134	0.254632	0.396925	0.171657	0.145321	0.286097	0.396925	0.171657	0.145321	0.286097	
5499000	0.879386	1	0.271654	0.234304	0.200673	0.293369	0.271654	0.234304	0.200673	0.293369	0.271654	0.234304	0.200673	0.293369	0.271654	0.234304	0.200673	0.293369	
5500000	0.879386	1	0.279992	0.198755	0.213074	0.308179	0.279992	0.198755	0.213074	0.308179	0.279992	0.198755	0.213074	0.308179	0.279992	0.198755	0.213074	0.308179	
5501000	0.879386	1	0.274056	0.225670	0.187928	0.312346	0.274056	0.225670	0.187928	0.312346	0.274056	0.225670	0.187928	0.312346	0.274056	0.225670	0.187928	0.312346	
5502000	0.879386	3	0.272797	0.323945	0.142660	0.260598	0.284307	0.203597	0.172542	0.339554	0.296795	0.185304	0.192277	0.325623	0.296795	0.185304	0.192277	0.325623	
5503000	0.879386	1	0.266293	0.205026	0.211584	0.317097	0.266293	0.205026	0.211584	0.317097	0.266293	0.205026	0.211584	0.317097	0.266293	0.205026	0.211584	0.317097	
5504000	0.879386	1	0.255706	0.234553	0.216483	0.293258	0.255706	0.234553	0.216483	0.293258	0.255706	0.234553	0.216483	0.293258	0.255706	0.234553	0.216483	0.293258	
5505000	0.879386	1	0.247171	0.233189	0.178876	0.340764	0.247171	0.233189	0.178876	0.340764	0.247171	0.233189	0.178876	0.340764	0.247171	0.233189	0.178876	0.340764	
5506000	0.879386	1	0.258666	0.283766	0.166268	0.291301	0.258666	0.283766	0.166268	0.291301	0.258666	0.283766	0.166268	0.291301	0.258666	0.283766	0.166268	0.291301	
5507000	0.879386	1	0.278151	0.224242	0.212545	0.285062	0.278151	0.224242	0.212545	0.285062	0.278151	0.224242	0.212545	0.285062	0.278151	0.224242	0.212545	0.285062	
5508000	0.879386	1	0.287653	0.205892	0.169053	0.337403	0.287653	0.205892	0.169053	0.337403	0.287653	0.205892	0.169053	0.337403	0.287653	0.205892	0.169053	0.337403	
5509000	0.879386	2	0.445900	0.261085	0.133272	0.159743	0.317235	0.168554	0.140390	0.373822	0.317235	0.168554	0.140390	0.373822	0.317235	0.168554	0.140390	0.373822	
5510000	0.879386	2	0.344079	0.251061	0.293130	0.111729	0.312286	0.165105	0.156295	0.366315	0.312286	0.165105	0.156295	0.366315	0.312286	0.165105	0.156295	0.366315	
5511000	0.879386	2	0.352769	0.265048	0.300639	0.081545	0.342867	0.178387	0.157289	0.321457	0.342867	0.178387	0.157289	0.321457	0.342867	0.178387	0.157289	0.321457	
5512000	0.879386	1	0.309309	0.171303	0.199623	0.319765	0.309309	0.171303	0.199623	0.319765	0.309309	0.171303	0.199623	0.319765	0.309309	0.171303	0.199623	0.319765	
5513000	0.879386	1	0.292471	0.171001	0.195053	0.341474	0.292471	0.171001	0.195053	0.341474	0.292471	0.171001	0.195053	0.341474	0.292471	0.171001	0.195053	0.341474	
5514000	0.879386	1	0.344652	0.200596	0.151607	0.303146	0.344652	0.200596	0.151607	0.303146	0.344652	0.200596	0.151607	0.303146	0.344652	0.200596	0.151607	0.303146	
5515000	0.879386	1	0.277512	0.193716	0.219153	0.309618	0.277512	0.193716	0.219153	0.309618	0.277512	0.193716	0.219153	0.309618	0.277512	0.193716	0.219153	0.309618	
5516000	0.879386	1	0.285370	0.234571	0.192170	0.287890	0.285370	0.234571	0.192170	0.287890	0.285370	0.234571	0.192170	0.287890	0.285370	0.234571	0.192170	0.287890	
5517000	0.879386	2	0.175890	0.206938	0.351234	0.265938	0.263576	0.221544	0.192679	0.322201	0.263576	0.221544	0.192679	0.322201	0.263576	0.221544	0.192679	0.322201	
5518000	0.879386	1	0.317255	0.185608	0.193358	0.303778	0.317255	0.185608	0.193358	0.303778	0.317255	0.185608	0.193358	0.303778	0.317255	0.185608	0.193358	0.303778	
5519000	0.879386	1	0.273367	0.213370	0.228785	0.284478	0.273367	0.213370	0.228785	0.284478	0.273367	0.213370	0.228785	0.284478	0.273367	0.213370	0.228785	0.284478	
5520000	0.879386	2	0.256199	0.215654	0.322398	0.205750	0.297999	0.176370	0.170874	0.354757	0.297999	0.176370	0.170874	0.354757	0.297999	0.176370	0.170874	0.354757	
5521000	0.879386	1	0.343656	0.168915	0.203204	0.284225	0.343656	0.168915	0.203204	0.284225	0.343656	0.168915	0.203204	0.284225	0.343656	0.168915	0.203204	0.284225	
5522000	0.879386	1	0.270768	0.204684	0.224643	0.299905	0.270768	0.204684	0.224643	0.299905	0.270768	0.204684	0.224643	0.299905	0.270768	0.204684	0.224643	0.299905	
5523000	0.879386	1	0.287087	0.216176	0.193374	0.303363	0.287087	0.216176	0.193374	0.303363	0.287087	0.216176	0.193374	0.303363	0.287087	0.216176	0.193374	0.303363	
5524000	0.879386	1	0.286222	0.203897	0.210404	0.299477	0.286222	0.203897	0.210404	0.299477	0.286222	0.203897	0.210404	0.299477	0.286222	0.203897	0.210404	0.299477	
5525000	0.879386	1	0.282290	0.236773	0.178673	0.302264	0.282290	0.236773	0.178673	0.302264	0.282290	0.236773	0.178673	0.302264	0.282290	0.236773	0.178673	0.302264	
5526000	0.879386	2	0.348926	0.112556	0.302894	0.235624	0.327968	0.157645	0.159297	0.355090	0.327968	0.157645	0.159297	0.355090	0.327968	0.157645	0.159297	0.355090	
5527000	0.879386	2	0.273091	0.201045	0.222375	0.303488	0.273091	0.201045	0.222375	0.303488	0.294084	0.165792	0.151157	0.388967	0.294084	0.165792	0.151157	0.388967	
5528000	0.879386	2	0.262071	0.215798	0.210477	0.311655	0.262071	0.215798	0.210477	0.311655	0.262071	0.215798	0.210477	0.311655	0.314898	0.127234	0.245191	0.312678	
5529000	0.879386	2	0.293613	0.219273	0.203033	0.284081	0.293613	0.219273	0.203033	0.284081	0.293613	0.219273	0.203033	0.284081	0.289969	0.141198	0.140921	0.427912	
5530000	0.879386	1	0.309391	0.159797	0.172456	0.358356	0.309391	0.159797	0.172456	0.358356	0.309391	0.159797	0.172456	0.358356	0.309391	0.159797	0.172456	0.358356	
5531000	0.879386	1	0.270457	0.202138	0.235672	0.291733	0.270457	0.202138	0.235672	0.291733	0.270457	0.202138	0.235672	0.291733	0.270457	0.202138	0.235672	0.291733	
5532000	0.879386	1	0.267048	0.205275	0.206948	0.320729	0.267048	0.205275	0.206948	0.320729	0.267048	0.205275	0.206948	0.320729	0.267048	0.205275	0.206948	0.320729	
5533000	0.879386	1	0.275283	0.214932	0.229430	0.280356	0.275283	0.214932	0.229430	0.280356	0.275283	0.214932	0.229430	0.280356	0.275283	0.214932	0.229430	0.280356	
5534000	0.879386	2	0.248365	0.241826	0.210859	0.298951	0.248365	0.241826	0.210859	0.298951	0.248365	0.241826	0.210859	0.298951	0.221143	0.124561	0.193990	0.460305	
